dp,so,Date,sv,l
0,2,"Feb 24, 2013",2,8
0,11,"Apr 02, 2013",3,17
0,7,"Feb 10, 2013",1,1
1,12,"Mar 23, 2013",2,14
0,2,"Feb 22, 2013",1,6
0,3,"Feb 22, 2013",1,6
0,4,"Apr 07, 2013",4,19
0,4,"Feb 23, 2013",1,8
0,3,04-17-13,4,21
0,5,"Mar 21, 2013",2,13
0,4,"Feb 23, 2013",1,7
0,5,"Feb 08, 2013",0,0
0,1,"Apr 04, 2013",3,18
0,7,05-09-13,8,26
0,5,"Mar 30, 2013",3,16
0,1,"Mar 16, 2013",2,13
0,1,"Feb 17, 2013",1,6
0,1,"Mar 30, 2013",3,16
0,2,"Feb 15, 2013",1,4
1,8,"Apr 27, 2013",7,25
0,4,"Mar 12, 2013",2,10
0,4,"Feb 10, 2013",1,2
0,4,"Mar 09, 2013",2,9
0,9,"Apr 28, 2013",8,25
0,4,"Feb 16, 2013",1,5
0,3,"Mar 03, 2013",2,8
1,2,"Apr 06, 2013",4,18
0,6,"May 01, 2013",8,26
1,4,"Apr 06, 2013",3,18
0,5,"Apr 13, 2013",4,20
