Acquired,Pos Summary,Rbat,Rdp,WAA,Age,RAA,RAR
Amateur Free Agent,78/9,-15,1,-2.5,24,-20,-10
Traded,1,0,0,0.0,26,0,0
Free Agency,1,-3,-0,-0.2,30,-2,-2
Amateur Draft,/1,-0,0,0.0,25,0,0
Free Agency,34/56,-4,-1,-0.3,28,-2,2
Free Agency,1,0,0,0.0,33,0,0
Free Agency,1,0,0,0.0,29,0,0
 , ,-84,7,-9.8,26.7,-62,124
Amateur Draft,/2,-1,0,-0.1,26,-1,-0
Amateur Draft,1,0,0,0.0,28,0,0
Amateur Draft,4/9D,-3,0,-0.8,24,-7,-5
Amateur Draft,/1,-1,0,-0.1,24,-1,-1
Free Agency,789,-2,1,-1.2,26,-10,-6
Free Agency,1,-5,0,-0.1,31,-0,-0
Free Agency,2/1,-15,0,-1.6,33,-14,-7
Amateur Draft,/1,-1,0,-0.0,27,-0,-0
Amateur Free Agent,9,6,0,0.7,22,7,10
Traded,*3,37,-0,3.3,24,32,51
Free Agency,7/9D,10,0,-1.1,29,-8,6
