Scoring,Team,GP,GS,MPG,PPG,PTS/48,FGM/G,FGA/G,FG%,3FGM/G,3FGA/G,3FG%,FTM/G,FTA/G,FT%,HIGH,PPS
2004-05,BOS,71,1,14.8,6.7,21.7,2.7,5.2,0.528,0.0,0.0,.000,1.2,1.9,0.63,19,1.3
2005-06,BOS,59,7,18.0,7.9,21.0,3.2,6.4,0.499,0.0,0.1,.000,1.5,2.3,0.642,21,1.2
2006-07,BOS,69,60,33.6,16.0,22.9,6.6,12.8,0.514,0.0,0.0,.000,2.9,4.3,0.681,32,1.3
2007-08,MIN,82,82,35.6,21.0,28.4,8.8,17.6,0.5,0.0,0.1,.000,3.5,4.8,0.721,40,1.2
2008-09,MIN,50,50,36.7,23.1,30.2,9.7,19.5,0.497,0.0,0.1,.000,3.7,5.0,0.738,39,1.2
2009-10,MIN,76,76,32.4,17.1,25.4,7.4,14.8,0.498,0.0,0.1,.000,2.4,3.5,0.68,36,1.2
2010-11,UTA,82,82,35.9,18.6,24.9,8.0,16.1,0.496,0.0,0.0,-,2.7,3.5,0.761,36,1.2
2011-12,UTA,61,61,34.0,19.2,27.1,8.5,17.2,0.492,0.0,0.1,.250,2.2,2.9,0.774,34,1.1
2012-13,UTA,78,78,33.1,17.8,25.9,7.8,15.8,0.494,0.0,0.2,.118,2.1,2.8,0.77,40,1.1
2013-14,CHA,73,73,35.0,21.8,30.0,9.6,18.8,0.509,0.0,0.2,.200,2.6,3.8,0.69,40,1.2
2014-15,CHA,65,61,30.6,16.6,26.1,7.5,15.5,0.481,0.0,0.1,.400,1.7,2.5,0.655,34,1.1
Career, ,766,631,31.1,17.0,26.3,7.3,14.6,0.499,0.0,0.1,.129,2.4,3.4,0.71,40,1.2
