2B,GIDP,R,SB,BB,SLG,SF,H
0,0,0,0,0,0.0,0,0
13,20,53,19,20,0.314,6,125
9,4,73,40,58,0.311,2,98
4,0,8,0,1,0.31,0,18
6,2,14,1,11,0.427,4,36
14,5,56,22,45,0.309,1,109
17,9,37,3,26,0.498,3,65
18,6,38,3,23,0.32,3,79
5,8,9,3,4,0.25,0,26
0,0,3,0,0,0.156,0,7
3,1,9,6,3,0.317,0,17
2,1,2,1,2,0.179,1,5
17,11,48,15,37,0.373,2,98
1,0,8,2,7,0.16,1,12
0,0,6,3,5,0.333,0,5
18,13,42,4,20,0.464,2,77
7,9,51,3,31,0.307,6,83
5,0,8,1,8,0.384,2,23
0,0,0,0,2,0.333,0,3
18,10,68,70,29,0.385,3,141
15,11,43,9,26,0.309,1,102
2,1,4,1,1,0.244,0,8
1,1,11,5,10,0.241,1,21
3,3,7,0,6,0.34,1,13
13,6,27,7,23,0.382,2,77
2,0,6,0,5,0.591,1,8
15,1,38,18,28,0.303,1,83
8,4,27,9,12,0.333,2,53
