Team,SO,2B,BB,OBP,Player
HIL,37,7,15,0.269,R McCurry
EVE,18,6,13,0.382,D Peterson
TRI,60,7,11,0.251,P Hutcheson
HIL,50,8,17,0.326,G Roberts
HIL,16,1,7,0.418,D Palka
SPO,36,5,20,0.307,J Jackson
EUG,1,0,0,0.333,E Charles
EVE,4,2,3,0.357,B Hebert
TRI,22,3,3,0.253,B Waldrip
BOI,39,8,18,0.346,D Lockhart
TRI,55,17,18,0.322,M Benjamin
BOI,17,8,8,0.416,K Bryant
SK,36,14,35,0.36,S Eberle
SPO,49,11,41,0.367,M Greene
VAN,18,2,8,0.259,C Vazquez
EUG,4,0,0,0.0,C Kreuter
SPO,32,5,25,0.345,G Roa
EUG,48,10,12,0.276,F Blanco
BOI,71,11,45,0.394,J Rogers
TRI,25,5,18,0.355,W Rodriguez
VAN,36,6,28,0.374,M Reeves
TRI,6,0,1,0.143,A San Juan
BOI,4,0,0,0.222,N Rosario
TRI,40,5,15,0.321,C O'Dowd
SK,12,1,3,0.326,C Otero
EVE,33,7,14,0.323,C Carmichael
SPO,25,9,11,0.333,K Torres
EUG,34,8,16,0.3,M Bass
EUG,31,6,13,0.316,R Miller
EVE,19,4,9,0.244,L Kauppila
VAN,5,1,2,0.391,J Leblebijian
EVE,51,6,32,0.359,J Reinheimer
SK,30,6,26,0.393,R Tuntland
SK,12,7,2,0.368,L Rojas
SK,24,4,9,0.333,J Polonius
TRI,13,2,10,0.218,C Galvez
BOI,25,7,15,0.337,L Rymel
HIL,34,8,5,0.27,Y Gutierrez
SK,21,2,10,0.338,J Jones
VAN,16,2,4,0.283,S Conner
SPO,11,0,2,0.152,R Duran
EUG,58,15,12,0.304,T Santos
TRI,33,15,23,0.345,P Valaika
HIL,9,3,2,0.321,D Chavez
EVE,2,0,4,0.5,M Peguero
VAN,13,4,1,0.257,D Lugo
HIL,14,3,10,0.373,J Parr
TRI,34,7,17,0.296,A Graeter
BOI,22,5,7,0.355,C Brockmeyer
SK,21,11,10,0.313,T Ross
HIL,16,2,4,0.204,W Castillo
