DRB%,Date,TS%,GS,Rk,ORtg,MP,TOV%,AST%
13.3,1996-04-14,.521,0,72,124,21:00,0.0,0.0
0.0,1995-12-16,.000,0,20,0,2:00,0.0,0.0
0.0,1995-12-20,.647,0,22,153,19:00,0.0,0.0
26.7,1995-12-23,1.000,0,24,202,10:00,0.0,0.0
0.0,1996-02-26,.000,0,50,0,5:00,0.0,0.0
8.9,1996-01-06,.753,0,29,86,12:00,37.6,0.0
18.0,1995-11-29,.444,0,11,95,29:00,11.3,0.0
14.7,1995-12-30,.500,0,27,112,16:00,0.0,0.0
15.3,1996-01-13,.333,0,31,71,29:00,14.3,5.2
13.3,1996-02-15,.517,0,44,132,32:00,0.0,5.5
0.0,1996-03-17, ,0,60,58,6:00,100.0,0.0
16.9,1996-04-02,.532,0,66,52,23:00,34.7,0.0
31.6,1995-11-22,.644,0,8,149,23:00,0.0,0.0
13.4,1996-03-09,.307,0,57,89,13:00,0.0,0.0
10.1,1996-02-28,.266,0,51,66,25:00,34.7,8.0
20.0,1996-04-05,.922,0,68,182,16:00,0.0,10.3
20.5,1996-03-19,.906,0,61,143,12:00,26.6,0.0
0.0,1996-03-30,1.031,0,65,130,17:00,34.0,0.0
14.5,1996-03-22,.333,0,63,69,11:00,25.0,0.0
0.0,1995-11-26,.000,0,10,0,16:00,0.0,0.0
20.0,1995-11-18,.727,0,7,145,26:00,12.7,13.9
18.0,1996-02-07,.512,0,42,113,17:00,0.0,0.0
15.2,1996-01-19,.000,0,34,48,22:00,33.3,0.0
8.9,1995-12-26, ,0,25, ,12:00, ,0.0
39.0,1996-01-18,.174,0,33,80,21:00,0.0,0.0
11.8,1996-03-01,.500,0,52,71,25:00,33.3,0.0
0.0,1995-12-22, ,0,23,0,7:00,100.0,0.0
8.4,1995-12-02,.463,0,13,124,13:00,0.0,0.0
21.1,1995-12-15,.765,0,19,159,19:00,0.0,0.0
0.0,1996-02-23,1.000,0,48,200,4:00,0.0,0.0
12.8,1996-01-11,.500,0,30,63,17:00,33.3,0.0
22.0,1996-02-05,.667,0,41,108,28:00,25.0,5.8
0.0,1996-03-23,1.136,0,64,114,10:00,53.2,0.0
0.0,1995-12-08, ,0,16,224,6:00, ,21.0
0.0,1995-11-03,.000,0,1,0,5:00,0.0,0.0
7.7,1996-02-01,.205,0,39,36,25:00,38.1,0.0
12.2,1995-12-10,.726,0,17,161,16:00,0.0,0.0
10.4,1996-03-02,.872,0,53,192,28:00,0.0,0.0
18.6,1996-03-05,.333,0,55,69,6:00,25.0,0.0
20.5,1995-11-30,.568,0,12,53,12:00,53.2,0.0
31.6,1996-02-03,.694,0,40,128,28:00,21.7,0.0
26.1,1995-12-07,.333,0,15,70,21:00,25.0,0.0
