ORtg,BLK%,GmSc,Opp,ORB%,GS,Age,USG%,G
98,0.0,1.5,CHA,22.8,0,22-207,12.5,46
0,0.0,-1.0,UTA,0.0,0,22-196,12.1,41
92,0.0,2.0,DET,16.6,0,22-199,13.3,42
105,0.0,1.7,NYK,100.0,0,22-133,87.9,17
61,0.0,0.0,MIA,30.8,0,22-109,25.3,14
 ,0.0,-0.1,LAL,0.0,0,22-067,0.0,4
64,0.0,-0.1,MIL,0.0,0,22-140,21.8,20
53,0.0,0.0,NJN,39.5,0,22-178,14.6,33
21,7.8,-3.4,MIL,12.6,0,22-225,16.4,55
165,0.0,5.0,MIA,31.8,0,22-183,7.5,36
108,4.3,2.3,DEN,6.9,1,22-095,12.0,11
46,0.0,-1.5,CHA,0.0,0,22-152,20.6,23
64,0.0,0.6,SEA,0.0,0,22-173,11.3,30
50,0.0,-0.8,SEA,14.6,0,22-161,17.0,27
238,0.0,2.2,CLE,15.5,0,22-145,5.6,21
0,0.0,-1.3,CHA,0.0,0,22-224,6.5,54
146,4.7,11.4,NJN,13.4,0,22-214,8.2,48
58,0.0,0.5,DET,16.2,0,22-158,21.6,26
