OPS,Name,2B,H,3B,To,HR,RBI,Rk,Yrs@School,R
0.434,Henry Thielman,1,18,2,1903,1,6,77.0,1900-1901,9
0.387,Ed Reulbach,16,127,6,1917,1,53,64.0,1903-1904,52
0.0,Dick Rusteck,0,0,0,1966,0,0,65.0,1961-1963,0
0.538,Packy Dillon,1,3,0,1875,0,1,19.0, ,1
0.299,Clem Clemens,1,7,0,1916,0,5,14.0,1910-1911,7
0.421,Shaun Fitzmaurice,0,2,0,1966,0,0,21.0,1963-1964,2
0.083,Aaron Heilman,0,1,0,2011,0,1,27.0, ,1
0.59,Willie McGill,19,96,2,1896,0,40,43.0, ,66
0.567,Jackie Mayo,10,51,1,1953,1,12,40.0,1944-1947,25
0.879,Chris Michalak,1,3,1,2006,0,0,47.0, ,0
0.0,Frank Carpin,0,0,0,1966,0,0,11.0,1958,0
0.0,Jeff Manship,0,0,0,2015,0,0,39.0, ,0
 ,Jim Brady,0,0,0,1956,0,0,7.0,1954-1955,1
0.727,Herb Kelly,0,3,1,1915,0,0,30.0,1912-1914,2
0.708,Steamer Flanagan,1,7,1,1905,0,3,22.0,1900-1905,7
0.67,Al Bergman,0,3,1,1916,0,0,3.0,1914-1915,2
0.514,Billy Reed,0,13,0,1952,0,0,62.0,1944-1948,4
0.428,Tommy Shields,1,6,0,1993,0,1,71.0, ,4
0.246,David Phelps,0,4,0,2015,0,0,58.0, ,0
0.695,Bert Daniels,76,486,40,1914,5,130,18.0,1908-1909,295
0.58,Jean Dubuc,23,150,10,1919,4,56,20.0,1907-1908,57
0.174,Mike Brannock,0,2,0,1875,0,0,8.0, ,4
0.347,Hank Olmsted,0,1,0,1905,0,0,55.0,1898-1905,0
0.686,Craig Counsell,218,1208,40,2011,42,390,15.0, ,647
0.516,Doc Powers,72,450,13,1909,4,199,61.0,1897-1898,183
0.39,Norwood Gibson,2,28,2,1906,0,6,24.0,1896-1900,15
0.0,Ed Lagger,0,0,0,1934,0,0,33.0,1932,0
0.375,Earle Mack,0,2,1,1914,0,1,37.0,1909-1910,0
0.363,Ron Reed,16,98,1,1984,0,38,63.0,1962-1965,42
0.0,Lou Bevil,0,0,0,1942,0,0,4.0,1939-1940,0
0.841,Carl Yastrzemski HOF,646,3419,59,1983,452,1844,84.0,1958,1816
0.623,Tom Carroll,0,9,0,1959,0,1,12.0,1954,15
0.0,Frank Scanlan,0,0,0,1909,0,0,67.0,1907-1909,0
0.0,Lou Nagelsen,0,0,0,1912,0,0,53.0,1909-1910,0
0.835,Cy Williams,306,1981,74,1930,251,1005,83.0,1910-1912,1024
0.059,Bill Lathrop,0,0,0,1914,0,1,34.0,1912-1913,1
0.788,A.J. Pollock,73,336,15,2015,28,115,60.0, ,180
0.385,Dan McGinn,0,15,1,1972,1,6,44.0, ,7
0.614,Bill Krieg,29,127,8,1887,4,37,32.0, ,62
0.742,Billy Sullivan,152,820,32,1947,29,388,75.0,1930-1931,346
0.689,Bert Inks,10,75,0,1896,0,18,28.0, ,36
0.77,Chief Sockalexis,12,115,8,1899,3,55,74.0, ,54
0.0,John Walsh,0,0,0,1903,0,0,80.0,1901,0
0.702,Red Murray,168,1170,96,1917,37,575,52.0,1905-1906,554
0.642,Dan Peltier,9,62,1,1996,1,28,57.0, ,27
0.61,Joe Birmingham,89,667,27,1914,7,265,5.0, ,284
0.5,Duke Simpson,0,2,0,1953,0,0,72.0,1945-1946,1
0.649,George Cutshaw,195,1487,89,1923,25,653,17.0,1908,629
0.624,Shag Shaughnessy,0,9,0,1908,0,1,70.0,1902-1904,2
0.0,Andy Pilney,0,0,0,1936,0,0,59.0,1934-1936,0
0.2,Ed McDonough,0,1,0,1910,0,0,42.0,1908-1909,1
