USG%,AST%,Date,ORB%,DRtg,Opp,BLK%,TS%
19.0,15.3,2012-01-07,0.0,106,NYK,18.6,.333
6.9,0.0,2012-04-17,0.0,79,CLE,17.3,.000
8.4,0.0,2012-03-18,14.2,86,LAC,9.1,.000
0.0,0.0,2012-01-28,0.0,112,PHI,0.0, 
3.7,0.0,2012-03-06,0.0,92,LAL,0.0,.500
5.7,0.0,2012-03-28,20.8,80,CLE,17.5,.266
0.0,18.4,2012-01-30,23.1,122,MIL,0.0, 
9.1,14.7,2012-04-05,9.8,92,WAS,3.1,.568
7.1,7.4,2012-03-14,10.9,110,SAC,0.0,.000
2.7,0.0,2012-04-08,11.8,103,MIA,4.7, 
4.8,0.0,2012-01-10,0.0,112,DAL,0.0,1.000
4.3,0.0,2012-03-21,5.9,109,DEN,0.0,.284
2.8,6.5,2012-04-12,7.6,103,CHA,0.0,.000
2.4,0.0,2012-01-17,13.1,112,HOU,12.4,.000
9.7,9.9,2011-12-26,11.1,96,IND,10.1,.333
4.4,5.8,2012-01-13,5.5,93,CHA,3.3,.500
7.6,0.0,2012-01-06,0.0,119,PHI,0.0,.000
7.2,0.0,2012-03-24,23.0,104,NYK,4.4,.000
4.5,11.9,2012-03-10,14.1,93,TOR,0.0,.532
12.4,16.1,2012-03-16,6.8,128,PHO,0.0,.919
3.6,18.9,2012-02-28,16.6,102,PHI,0.0,1.000
0.0,0.0,2012-02-22,0.0,107,TOR,0.0, 
14.8,14.4,2012-03-23,12.4,83,MIA,3.2,.205
0.0,0.0,2012-03-12,7.2,114,UTA,0.0, 
8.5,0.0,2012-01-31,24.0,130,NYK,0.0,.000
5.3,0.0,2012-02-19,0.0,80,BOS,5.9,.000
13.8,40.5,2012-04-22,8.4,87,TOR,0.0,.000
