Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
Totals:, , , , , , , ,0,0,0.00K,0.00K
ANNANDALE,WRIGHT CO.,MN,07/08/2007,12:18,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/08/2007,12:25,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
CLEARWATER,WRIGHT CO.,MN,07/08/2007,12:40,CST-6,Hail,2.50 in.,0,0,0.00K,0.00K
BIG LAKE,SHERBURNE CO.,MN,07/08/2007,12:45,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/08/2007,12:45,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
ZIMMERMAN,SHERBURNE CO.,MN,07/08/2007,12:51,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
ISANTI,ISANTI CO.,MN,07/08/2007,13:00,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
ST FRANCIS,ANOKA CO.,MN,07/08/2007,13:00,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
OTSEGO,WRIGHT CO.,MN,07/08/2007,13:05,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
ELK RIVER,SHERBURNE CO.,MN,07/08/2007,13:07,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
ST FRANCIS,ANOKA CO.,MN,07/08/2007,13:14,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
WYOMING,CHISAGO CO.,MN,07/08/2007,13:25,CST-6,Thunderstorm Wind,55 kts. EG,0,0,0.00K,0.00K
FOREST LAKE,WASHINGTON CO.,MN,07/08/2007,13:40,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
FOREST LAKE,WASHINGTON CO.,MN,07/08/2007,13:44,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
FOREST LAKE,WASHINGTON CO.,MN,07/08/2007,13:50,CST-6,Thunderstorm Wind,55 kts. EG,0,0,0.00K,0.00K
MAPLE PLAIN,HENNEPIN CO.,MN,07/08/2007,13:53,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
MAPLE PLAIN,HENNEPIN CO.,MN,07/08/2007,13:54,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
LESTER PRAIRIE,MCLEOD CO.,MN,07/08/2007,14:05,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
LESTER PRAIRIE,MCLEOD CO.,MN,07/08/2007,14:10,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
NORWOOD,CARVER CO.,MN,07/08/2007,14:15,CST-6,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
NEW GERMANY,CARVER CO.,MN,07/08/2007,14:19,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
NEW GERMANY,CARVER CO.,MN,07/08/2007,14:20,CST-6,Thunderstorm Wind,60 kts. EG,0,0,0.00K,0.00K
MAYER,CARVER CO.,MN,07/08/2007,14:28,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
HOPKINS,HENNEPIN CO.,MN,07/08/2007,14:33,CST-6,Hail,0.88 in.,0,0,0.00K,0.00K
RICHFIELD,HENNEPIN CO.,MN,07/08/2007,14:40,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
ELK RIVER,SHERBURNE CO.,MN,07/08/2007,14:46,CST-6,Thunderstorm Wind,50 kts. EG,0,0,0.00K,0.00K
ELK RIVER,SHERBURNE CO.,MN,07/08/2007,14:46,CST-6,Hail,1.25 in.,0,0,0.00K,0.00K
ST PAUL,RAMSEY CO.,MN,07/08/2007,14:47,CST-6,Hail,1.50 in.,0,0,0.00K,0.00K
ISANTI,ISANTI CO.,MN,07/08/2007,14:52,CST-6,Hail,1.00 in.,0,0,0.00K,0.00K
EAGAN,DAKOTA CO.,MN,07/08/2007,14:57,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
RAMSEY,ANOKA CO.,MN,07/08/2007,14:58,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
ANDOVER,ANOKA CO.,MN,07/08/2007,15:07,CST-6,Hail,1.75 in.,0,0,0.00K,0.00K
ANDOVER,ANOKA CO.,MN,07/08/2007,15:10,CST-6,Hail,2.75 in.,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/08/2007,15:20,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
ELK RIVER,SHERBURNE CO.,MN,07/08/2007,15:35,CST-6,Hail,0.75 in.,0,0,0.00K,0.00K
LINO LAKES,ANOKA CO.,MN,07/08/2007,16:10,CST-6,Thunderstorm Wind,52 kts. EG,0,0,0.00K,0.00K
Totals:, , , , , , , ,0,0,0.00K,0.00K
