R,AB,2B,Player,3B,G,HR
25,158,7,K Orr,0,48,3
12,58,1,A Guzman,1,20,2
16,92,1,C Parra,0,41,3
3,13,0,N Morgan,0,4,1
4,8,0,R Fernandez,0,3,0
0,2,0,P Andersen,0,1,0
0,8,0,R Redden,0,10,0
7,32,5,R Gorecki,0,10,0
5,74,2,J Ceballos,0,29,0
0,2,0,J Jay,0,1,0
13,105,9,D Winn,2,29,2
4,29,0,L Rivera,1,7,0
1,8,0,B Suttle,0,3,0
15,113,5,O Rodriguez,0,32,2
9,98,4,J Villegas,2,32,0
8,61,2,J Wideman,0,21,0
2,22,1,B Monk,0,8,0
12,75,1,C Maddox,0,25,3
30,179,8,N Ray,2,52,1
21,196,6,H Parrott,0,52,2
25,160,7,E Lara,4,49,8
1,12,1,C Haerther,1,4,0
39,201,13,J Becker,1,51,1
22,120,4,D Ingram,0,39,0
10,81,3,R Shimabukuro,0,34,3
8,52,1,S Martinez,1,19,0
3,28,1,N Papasan,0,9,0
3,56,1,D Rohlfing,0,22,0
35,217,18,E Polanco,0,54,5
10,71,1,G Manzanillo,0,26,0
1,4,0,W Polo,1,1,0
8,84,1,B Hiraldo,1,30,1
29,171,5,G Toribio,0,53,0
20,125,3,E Beltre,3,34,5
6,61,1,R Henry,0,21,0
11,85,3,T Hamaoka,0,41,0
21,114,6,J Bastardo,3,37,3
24,224,7,F Freeman,0,59,6
8,75,3,R Gil,0,25,2
14,118,3,F Parejo,0,39,0
41,179,8,E Carrera,3,45,1
22,176,7,E Eiland,1,51,1
17,156,7,B Nicolas,0,40,2
14,90,4,M Willard,0,26,0
22,139,2,J Beresford,0,45,0
16,139,9,S Welch,0,36,0
1,7,0,C Maybin,0,2,0
19,200,10,T Mattair,1,54,3
13,102,5,J Morales,0,31,0
2,8,0,E Chavez,0,2,0
17,106,3,W Lamont,0,32,1
12,78,1,B Harrigan,0,28,0
8,28,1,J Hage,1,7,2
7,53,9,L Arzeno,0,24,1
21,83,6,J Nilsson,0,26,2
10,96,6,L De La Cruz,2,39,0
8,104,5,J Sucre,0,40,0
3,35,3,J Tucker,0,9,0
6,64,0,J Garcia,0,22,0
36,191,9,C Lester,0,51,0
2,20,0,C Kingrey,0,9,0
19,128,5,B Hubbert,0,35,3
24,127,6,Y Garcia,0,38,8
17,151,4,J Guzman,1,44,2
6,79,1,L Aguayo,0,25,0
2,45,1,L Taylor,0,17,0
19,165,6,K Ahrens,0,48,3
8,32,5,T Cruz,0,7,0
3,15,2,G Lombard,0,5,0
4,109,2,K Miles,1,43,0
4,12,1,M Perez,0,4,1
2,17,0,R Roberson,0,7,0
13,135,6,R Vasquez,0,40,1
4,6,1,M Thayer,0,2,0
2,28,0,J Bert,0,12,0
22,128,6,M Burgess,3,36,8
18,106,6,B Biela,3,34,0
12,127,4,L Rincon,0,34,4
16,134,2,D McDonald,0,42,2
4,29,0,J Martin,0,12,0
11,116,8,C Huang,0,34,0
6,21,0,A Rizzo,0,6,1
7,25,5,P Hoover,0,7,0
33,181,14,J Rojas,0,52,4
6,39,2,W Ibarra,0,16,0
6,37,3,J Martin,0,12,1
5,55,2,P Gilardo,0,20,1
0,10,1,J Martinez,0,3,0
3,16,3,V Mendez,0,5,1
1,11,0,C Iorg,0,3,0
14,140,7,D Scott,1,43,2
27,177,6,A De Castro,1,50,1
35,201,14,P Baez,2,53,3
1,18,1,F Parra,0,9,0
3,17,1,W Vazquez,2,5,0
11,162,5,J Gilmore,1,43,1
7,54,1,F Cruz,0,24,0
10,81,4,A Bonevacia,0,21,1
12,113,5,C Armstrong,0,37,0
2,2,1,A Romine,0,1,0
18,141,3,T d'Arnaud,0,41,4
4,13,0,P Kozma,0,4,0
0,5,0,P Kelly,0,2,0
22,165,8,G Zavala,3,49,6
26,171,8,T Brown,0,51,7
0,0,0,J Phillabaum,0,1,0
2,20,2,B Powell,0,5,1
7,40,1,S Roof,0,15,0
12,144,5,B Greenwell,0,37,0
8,62,0,K Roque,0,24,0
7,64,1,D Dixon,1,24,0
14,115,4,J Peley,2,31,1
28,207,10,K Bolt,4,57,8
19,130,6,C Guzman,1,38,5
2,9,1,C Ebarb,0,3,0
27,168,14,B Laird,1,45,8
1,28,1,J Egan,0,8,0
12,86,6,Y Canal,1,28,5
33,151,10,T Kolodny,2,43,6
17,70,4,B Buck,1,32,0
4,102,3,C Maddox,0,35,0
4,15,0,G Casanova,0,4,1
9,64,2,R Arias,0,26,0
7,47,2,D King,0,21,1
27,138,8,R Burgos,0,42,7
3,22,1,T Sears,0,7,0
21,190,17,L Sumoza,4,53,3
22,178,16,F Murillo,0,51,7
33,175,10,C Lin,6,43,4
1,8,2,J Bautista,0,2,0
1,2,0,N Jackson,0,1,0
4,31,4,D Hernandez,0,11,0
17,143,5,M Sierra,1,43,5
18,152,7,N Soto,5,40,2
10,80,3,R Sanchez,0,24,1
7,68,4,J Tarnow,0,22,0
