Date,Opponent,Score,ab,r,h,2b,3b,hr,rbi,bb,k,sb,cs
Mar 1,at Bridgewater (Va.),"W, 6-3",3,0,1,-,-,-,0,-,-,-,-
Mar 1,at Bridgewater (Va.),"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Mar 2,at Randolph,"L, 8-0",2,0,1,-,-,-,0,-,-,-,-
Mar 2,at Randolph,"L, 4-3",1,0,0,-,-,-,0,-,-,-,-
Mar 3,vs. Mount Union,"L, 3-1",3,0,0,-,-,-,0,-,-,-,-
Mar 3,vs. Mount Union,"W, 5-1",3,0,2,-,-,-,1,-,-,-,-
Mar 4,vs. Ferrum,"L, 8-1",3,0,0,-,-,-,0,-,-,-,-
Mar 4,vs. Gwynedd Mercy,"W, 12-3",4,0,2,1,-,-,0,-,-,-,-
Mar 5,vs. Malone,"L, 17-13",5,1,1,-,-,-,1,-,-,-,-
Mar 5,vs. Lycoming,"L, 4-3",3,0,0,-,-,-,1,-,-,-,-
Mar 20,Juniata,"W, 8-5",3,0,0,-,-,-,0,-,-,-,-
Mar 20,Juniata,"W, 4-3",2,0,1,-,-,-,0,-,-,-,-
Mar 22,at Southern Virginia,"W, 9-1",2,0,1,-,-,-,0,-,-,-,-
Mar 22,at Southern Virginia,"W, 11-1",3,1,0,-,-,-,2,-,-,1,-
Mar 24,Gettysburg,"L, 9-1",2,0,0,-,-,-,0,-,-,-,-
Mar 24,Gettysburg,"L, 11-9",-,-,-,-,-,-,-,-,-,-,-
Mar 27,Elizabethtown,"L, 9-7",3,0,2,-,-,-,0,-,-,-,-
Mar 27,Elizabethtown,"L, 3-1",3,0,0,-,-,-,0,-,-,-,-
Apr 1,Chris. Newport,"L, 8-1",3,0,2,-,-,-,0,-,-,-,-
Apr 1,Chris. Newport,"L, 4-1",3,0,1,-,-,-,0,-,-,-,-
Apr 2,Mary Washington,"L, 4-0",2,0,0,-,-,-,0,-,1,-,-
Apr 2,Mary Washington,"L, 3-0",3,0,1,-,-,-,0,-,1,-,-
Apr 3,Frank. & Marshall,"L, 15-9",5,0,0,-,-,-,0,-,1,-,-
Apr 3,Frank. & Marshall,"L, 1-0",4,0,0,-,-,-,0,-,-,-,-
Apr 5,at Salisbury,"L, 10-1",-,-,-,-,-,-,-,-,-,-,-
Apr 5,at Salisbury,"L, 6-4",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Wesley,"W, 13-1",-,-,-,-,-,-,-,-,-,-,-
Apr 6,at Wesley,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Apr 9,Penn St.-Harrisburg,"W, 6-3",-,-,-,-,-,-,-,-,-,-,-
Apr 9,Penn St.-Harrisburg,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at Frostburg St.,"L, 6-1",-,-,-,-,-,-,-,-,-,-,-
Apr 12,at Frostburg St.,"L, 11-7",-,-,-,-,-,-,-,-,-,-,-
Apr 17,vs. Mary Washington,"W, 5-3",-,-,-,-,-,-,-,-,-,-,-
Apr 17,at Chris. Newport,"L, 8-0",-,-,-,-,-,-,-,-,-,-,-
Apr 18,vs. Frostburg St.,"L, 7-6",-,-,-,-,-,-,-,-,-,-,-
Apr 23,at Messiah,"L, 8-1",-,-,-,-,-,-,-,-,-,-,-
Apr 23,at Messiah,"L, 9-0",-,-,-,-,-,-,-,-,-,-,-
Apr 24,McDaniel,"W, 5-4",-,-,-,-,-,-,-,-,-,-,-
Apr 24,McDaniel,"L, 6-0",-,-,-,-,-,-,-,-,-,-,-
Apr 28,Washington College,"L, 7-2",-,-,-,-,-,-,-,-,-,-,-
Apr 28,Washington College,"T, 6-6",-,-,-,-,-,-,-,-,-,-,-
