Game Date,Team,Opp,Result,IP,H,R,ER,HR,BB,SO,WP,BK,HB,TBF,Pitches,Str,Bal,Str%,Career G,Career W-L,Feat Description
1986-05-12,OAK,TOR,L 3-5 vs TOR,5.1,6,4,3,1,4,3,0,0,0,24,0,0,0,--,1,0-0,1st career game
1986-06-14,OAK,TEX,W 3-2 vs TEX,7.2,3,2,2,0,5,10,2,0,0,30,0,0,0,--,8,1-2,"10 Strikeouts, 1st career win"
1987-06-14,OAK,TEX,L 1-5 @TEX,6.0,5,5,5,1,5,11,1,0,0,27,0,0,0,--,42,5-10,11 Strikeouts
1987-08-25,OAK,BAL,W 9-7 vs BAL,3.1,0,0,0,0,1,4,0,0,0,11,0,0,0,--,44,5-11,1st career save
1989-08-02,NYA,MIN,L 3-4 vs MIN,2.0,2,1,1,0,0,2,0,0,0,8,30,24,6,80%,145,19-17,Threw 80% strikes
1989-09-29,NYA,DET,W 5-1 vs DET,8.0,3,1,0,0,4,10,1,0,0,31,137,84,53,61%,157,23-21,10 Strikeouts
1990-07-15,NYA,CHA,L 5-8 vs CHA,2.0,2,1,0,0,0,0,0,0,0,8,24,18,6,75%,181,25-23,Threw 75% strikes
1990-09-06,NYA,CAL,L 6-12 vs CAL,7.0,3,1,1,1,0,8,0,0,0,23,70,53,17,76%,195,28-23,Threw 76% strikes
1990-09-19,NYA,TOR,L 6-7 @TOR,0.1,0,0,0,0,0,1,0,0,0,1,3,3,0,100%,200,28-24,200th career game
1991-07-31,NYA,MIN,L 3-12 vs MIN,4.1,9,3,0,1,0,3,0,0,0,22,60,45,15,75%,234,31-26,Threw 75% strikes
1993-05-05,CLE,SEA,W 3-2 vs SEA,1.1,2,1,0,0,0,3,0,0,0,7,26,20,6,77%,318,41-37,Threw 77% strikes
1993-09-01,CLE,MIN,W 12-7 @MIN,1.1,1,0,0,0,0,3,0,0,0,5,21,16,5,76%,363,44-40,Threw 76% strikes
1994-06-20,CLE,DET,W 7-1 @DET,2.0,0,0,0,0,0,2,0,0,0,6,24,19,5,79%,399,49-42,Threw 79% strikes
1994-06-22,CLE,DET,W 9-6 @DET,2.2,3,1,1,0,1,4,0,0,0,11,46,32,14,70%,400,49-42,400th career game
1996-07-28,CLE,BAL,W 6-3 @BAL,2.1,0,0,0,0,0,5,0,0,0,7,34,22,12,65%,509,59-45,Struck out at least 2 batters per inning (1.2+ ip)
1997-08-30,CLE,CHN,L 4-9 vs CHN,1.2,3,1,1,0,0,4,0,0,0,7,30,24,6,80%,574,64-50,"Struck out at least 2 batters per inning (1.2+ ip), Threw 80% strikes"
1998-05-13,CLE,BAL,L 1-8 @BAL,0.1,0,0,0,0,0,0,0,0,0,1,6,4,2,67%,600,66-52,600th career game
1998-08-27,MIL,ARI,W 4-0 @ARI,2.0,0,0,0,0,0,1,0,0,0,6,21,16,5,76%,634,67-53,Threw 76% strikes
1998-09-05,MIL,PHI,W 3-2 vs PHI,3.0,0,0,0,0,0,5,0,0,0,9,34,22,12,65%,637,67-53,1000th career strikeout
1998-09-11,MIL,CHN,W 13-11 @CHN,2.1,1,0,0,0,0,3,0,0,0,8,36,27,9,75%,640,68-54,Threw 75% strikes
