Symbol,Company,Insider,Position,Date,Buy/Sell,Shares,Trade Price ($),Cost ($1000),Price Change Since Trade (%),Yield (%),P/E,Market Cap ($M),Details
EXPO,Exponent Inc,RIGGINS STEPHEN C,Director,2015-07-24,Sell,"2,880",$43.86,126.3,1.44,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,Anderson Elizabeth L,Group Vice President,2015-05-20,Sell,"4,838",$87.25,422.1,-49.01,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,Osteraas John,Group Vice President,2015-05-06,Sell,"3,692",$86.74,320.2,-48.71,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,CALIGIURI ROBERT D,Group Vice President,2015-02-12,Sell,"4,106",$88,361.3,-49.44,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,MALLADI SUBBAIAH V,Chief Technical Officer,2015-02-11,Sell,"5,053",$87.56,442.4,-49.19,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,MALLADI SUBBAIAH V,Chief Technical Officer,2015-02-10,Sell,"10,105",$88.49,894.2,-49.72,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,CALIGIURI ROBERT D,Group Vice President,2014-10-30,Sell,"5,000",$79,395.0,-43.68,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,CALIGIURI ROBERT D,Group Vice President,2014-08-04,Sell,"4,994",$70.99,354.5,-37.33,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO (Click for the stocks that their CEOs have bought),2014-06-26,Sell,"4,075",$72.99,297.4,-39.05,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-06-23,Sell,"4,168",$72.93,304.0,-39.0,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-06-18,Sell,"3,062",$73.03,223.6,-39.08,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-06-13,Sell,"3,133",$72.82,228.1,-38.9,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-06-10,Sell,"3,000",$73.05,219.2,-39.1,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-06-05,Sell,"3,000",$71.23,213.7,-37.54,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-06-02,Sell,"3,000",$71.04,213.1,-37.37,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,Corrigan Catherine,Group Vice President,2014-05-29,Sell,"2,500",$70.06,175.2,-36.5,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-05-28,Sell,"2,249",$69.83,157.0,-36.29,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,Boehm Paul,Group Vice President,2014-05-27,Sell,"2,000",$70,140.0,-36.44,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-05-22,Sell,"3,751",$68.63,257.4,-35.17,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-05-19,Sell,"3,000",$68.17,204.5,-34.74,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-05-14,Sell,"3,000",$67.95,203.9,-34.53,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,Boehm Paul,Group Vice President,2014-05-12,Sell,"4,000",$70.5,282.0,-36.89,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,Anderson Elizabeth L,Group Vice President,2014-05-12,Sell,"8,701",$70.8,616.0,-37.16,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-05-09,Sell,"3,000",$68.92,206.8,-35.45,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-05-06,Sell,"2,776",$69.93,194.1,-36.38,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,JOHNSTON PAUL R,President & CEO,2014-05-01,Sell,"3,224",$69.01,222.5,-35.53,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,Boehm Paul,Group Vice President,2014-02-28,Sell,"6,000",$70.37,422.2,-36.78,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,Osteraas John,Group Vice President,2014-02-26,Sell,"4,016",$86.88,348.9,-48.79,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,CALIGIURI ROBERT D,Group Vice President,2014-02-24,Sell,"5,000",$72.4,362.0,-38.55,1.24,29.43,1155.916,Link
EXPO,Exponent Inc,SCHLENKER RICHARD L JR,EVP & CFO,2013-11-21,Sell,"18,302",$75.02,1373.0,-40.7,1.24,29.43,1155.916,Link
