GIDP,G,OPS,BB,AB
3,36,.577,10,105
4,25,.580,6,77
1,5,.683,1,18
0,1,--,0,0
1,47,.511,6,167
0,24,.492,7,72
0,2,.167,1,5
4,99,.772,21,418
0,6,.438,1,20
19,77,.650,21,289
2,12,.600,0,45
15,132,.803,41,492
4,64,.582,35,205
7,37,.510,7,115
0,1,--,0,0
1,24,.761,3,76
3,58,.577,10,195
6,76,.597,27,267
1,47,.634,23,145
2,19,.879,14,63
6,114,.810,42,450
5,41,.631,12,140
5,65,.790,29,245
0,8,.546,5,21
0,4,.200,2,8
0,3,.421,2,13
6,50,.482,8,163
8,69,.881,31,248
3,71,.476,18,206
0,4,.697,1,9
0,1,2.000,0,1
2,50,.692,8,194
1,7,.588,2,24
0,1,.650,1,4
1,18,.371,4,59
5,52,.765,24,182
13,112,.705,24,425
2,56,.683,35,182
14,112,.735,40,383
0,1,.500,1,1
1,32,.718,5,126
2,18,.434,3,60
7,113,.709,78,417
0,1,.000,0,3
5,77,.746,35,262
7,36,.692,14,112
0,3,.900,0,10
15,116,.722,32,481
4,88,.729,20,319
6,66,.689,9,195
3,89,.590,33,347
8,135,.768,42,502
10,103,.851,53,378
7,72,.809,24,246
0,1,--,0,0
0,1,--,0,0
0,7,.533,4,20
5,31,.502,11,81
4,23,.682,7,84
1,26,.681,10,88
1,3,.661,1,7
1,17,.427,5,37
0,1,.000,0,2
1,9,.607,2,33
15,103,.734,40,364
0,1,.000,0,3
0,5,.467,0,15
6,82,.704,38,284
3,63,.850,10,245
0,9,.679,1,24
2,69,.697,17,266
0,1,.250,1,3
8,118,.834,60,432
5,128,.850,58,466
13,131,.682,27,518
0,7,.571,0,21
2,78,.697,28,249
13,107,.711,26,374
0,100,.708,51,395
2,10,.584,3,23
1,24,.561,5,59
0,5,1.172,3,14
6,66,.778,42,225
0,3,.647,1,12
0,9,.881,9,21
4,67,.965,24,268
12,51,.741,6,187
8,113,.560,37,354
5,67,.570,19,227
4,21,.440,5,70
1,5,.705,1,18
2,27,.525,1,89
0,9,.535,1,27
9,129,.798,72,438
2,17,.679,11,58
4,37,.674,2,138
3,77,.618,18,219
9,67,.964,22,258
0,1,.000,0,1
2,37,.569,13,93
9,89,.621,18,280
5,34,.576,12,94
2,2,.667,0,6
0,18,.605,5,67
1,2,.500,0,8
3,58,.673,16,240
0,2,1.431,1,8
0,7,.787,5,17
8,68,.658,29,242
2,59,.682,12,183
1,41,.809,17,152
8,83,.878,35,293
7,130,.640,63,488
11,125,.628,31,435
4,104,.792,35,389
4,122,.790,40,448
6,49,.496,9,163
1,5,.547,2,21
19,124,.631,32,427
5,96,.737,33,321
0,10,.561,2,24
0,18,.795,5,62
1,69,.597,14,201
1,27,.586,8,90
7,103,.573,45,316
7,75,.502,14,222
4,39,.369,4,108
5,83,.879,43,296
8,116,.907,43,399
7,94,.814,23,347
9,130,.602,31,491
4,103,.754,28,357
4,61,.739,13,223
0,1,--,0,0
0,4,.167,0,12
4,68,.806,12,258
6,109,.680,15,385
0,20,.319,9,49
0,3,.808,0,12
0,9,.619,3,24
1,3,.673,3,11
