Team,SO,2B,H,HR,CS,SF,OPS,G,AVG
MRL,3,1,9,0,0,0,.973,7,.409
MRL,11,4,24,0,0,0,.761,22,.324
YAN,8,2,8,0,1,1,.561,16,.205
TIG,26,2,34,5,3,0,.858,30,.312
NAT,34,0,23,0,4,0,.544,35,.225
BLU,50,12,53,6,2,1,.883,50,.301
TWI,14,3,12,1,3,2,.639,18,.211
CAR,8,2,12,0,2,2,.447,20,.203
IND,25,4,22,0,0,0,.622,26,.244
BRA,21,3,19,0,1,1,.472,35,.186
ORI,15,4,22,1,0,1,.706,21,.272
MTS,2,2,11,1,0,0,.774,14,.282
CAR,32,4,13,1,1,1,.543,27,.173
CAR,22,1,17,1,0,0,.569,30,.202
IND,38,7,36,3,2,3,.632,51,.221
BLU,21,3,17,1,1,0,.582,25,.227
IND,24,5,31,0,4,0,.548,37,.215
IND,30,2,7,1,0,0,.501,21,.149
YAN,12,7,30,3,1,1,.791,30,.280
BLU,17,4,18,7,0,1,.991,22,.257
PIR,13,6,24,2,1,0,.841,25,.300
YAN,1,0,0,0,0,0,.000,1,.000
MTS,34,1,13,0,1,1,.424,25,.165
CAR,29,3,15,0,1,0,.564,27,.227
RSX,5,1,13,1,3,0,1.063,10,.371
CAR,23,3,24,0,1,1,.515,39,.203
TIG,5,0,4,0,0,0,.644,7,.235
DGR,7,0,6,0,0,0,.550,12,.207
RSX,3,0,2,0,0,0,.284,4,.118
DGR,20,1,18,2,1,1,.863,20,.310
MTS,6,1,10,1,0,0,.557,19,.192
RSX,21,0,9,0,4,1,.415,24,.145
YAN,0,0,0,0,0,0,.500,1,.000
MTS,6,0,1,0,0,0,.533,3,.111
MTS,2,1,1,0,1,0,.619,2,.143
PIR,16,4,29,1,0,2,.638,31,.252
BLU,7,0,3,0,0,0,.376,10,.136
DGR,47,7,36,3,1,0,.659,48,.228
MTS,0,0,5,0,0,0,1.325,3,.625
BLU,47,6,38,3,0,0,.660,48,.230
CAR,2,0,2,0,0,0,.421,4,.154
PIR,21,2,18,0,1,0,.517,41,.159
CAR,15,4,39,0,5,0,.788,39,.325
NAT,2,2,7,0,1,0,1.179,5,.467
MTS,52,5,26,3,3,1,.602,35,.203
TWI,20,6,62,0,9,2,.849,50,.325
CAR,26,1,5,0,0,0,.357,28,.096
MRL,8,2,7,0,0,0,.497,24,.140
PIR,25,9,44,3,4,0,.738,45,.257
ORI,65,8,44,1,5,3,.694,52,.246
PIR,5,2,8,0,0,0,1.140,8,.444
DGR,0,0,0,0,0,0,.000,1,.000
TIG,20,1,18,3,0,0,.695,25,.240
RSX,0,0,0,0,0,0,--,1,--
MRL,25,1,18,0,4,3,.470,37,.180
