Team,RPG,FGM,TOV,GP,FTM,FG%,PF
CAN,3.1,3.9,1.1,34,2.9,0.431,3.0
GCN,6.4,4.6,2.5,38,2.7,0.468,2.3
VAL,7.1,6.1,1.6,34,2.3,0.549,2.3
BRV,1.6,1.5,0.7,30,0.3,0.409,2.0
UNI,2.1,3.3,1.5,34,1.3,0.423,1.9
MOV,5.5,3.9,1.4,33,0.5,0.487,2.6
ZAR,3.1,4.7,1.6,40,0.9,0.474,2.5
GCN,2.3,5.3,1.9,38,1.7,0.499,1.8
FCB,3.9,2.0,0.5,39,0.6,0.503,1.7
MUR,1.8,1.7,1.3,33,1.1,0.377,1.6
SEV,3.2,4.5,3.1,33,2.7,0.469,2.7
BBB,4.4,3.2,1.4,36,1.0,0.504,2.5
JOV,2.7,2.2,0.7,29,1.2,0.441,1.3
CAJ,3.2,4.1,1.3,36,1.9,0.49,1.2
MAN,2.4,5.1,2.3,34,2.2,0.463,2.7
VAL,2.3,3.5,1.5,33,1.8,0.45,1.8
JOV,2.9,3.0,1.6,34,4.1,0.421,2.0
OBR,2.1,2.0,1.8,31,0.9,0.397,2.0
JOV,1.4,2.5,0.8,34,0.7,0.353,1.7
ZAR,3.2,3.1,1.6,40,1.6,0.496,1.8
MOV,5.3,4.9,2.4,30,3.7,0.468,1.7
SEV,2.8,3.7,2.0,33,1.7,0.419,2.9
BBB,1.5,1.9,1.4,29,1.2,0.357,2.7
BBB,4.1,4.5,2.4,36,1.8,0.447,2.2
UNI,3.3,2.4,1.3,34,0.8,0.345,2.5
BBB,5.6,4.9,1.8,36,2.8,0.543,2.8
ZAR,1.9,2.2,1.6,40,2.6,0.486,1.6
VAL,3.7,4.4,2.1,36,2.4,0.536,2.6
MUR,1.9,2.3,1.8,34,1.1,0.387,1.9
MUR,5.3,3.2,1.1,31,2.0,0.49,2.6
VAL,4.3,5.9,1.4,36,3.0,0.53,2.7
VAL,2.1,1.5,1.1,36,0.8,0.362,2.2
FCB,2.1,3.1,1.7,45,1.4,0.438,1.2
CAJ,4.7,5.2,1.7,36,2.1,0.526,2.8
BBB,3.7,2.3,0.6,34,0.4,0.443,2.2
RMB,1.9,3.7,0.9,44,1.3,0.498,1.8
FCB,2.2,2.2,0.7,32,1.0,0.437,1.7
UNI,2.4,1.9,1.1,29,1.1,0.505,2.3
FCB,2.6,1.6,1.0,45,0.4,0.436,1.0
