RBI,OBP,R,OPS,SH
2,.333,1,.745,0
28,.303,36,.635,2
13,.254,11,.495,2
17,.294,20,.618,1
1,.147,0,.272,1
0,.125,0,.125,0
9,.291,21,.578,7
0,.000,0,.000,0
0,.533,3,.833,0
13,.250,7,.637,2
3,.452,8,.869,2
4,.314,12,.575,1
4,.324,5,.543,0
53,.300,28,.767,0
35,.339,41,.796,0
19,.333,15,.652,2
22,.311,38,.643,1
4,.266,4,.488,0
46,.418,45,.902,0
2,.237,3,.437,0
2,.286,9,.582,0
11,.229,10,.438,0
3,.429,9,.901,1
2,.226,2,.404,0
6,.278,5,.499,1
42,.343,38,.876,0
21,.298,17,.651,1
24,.306,26,.609,0
19,.321,11,.766,0
14,.357,20,.635,0
14,.300,27,.507,0
9,.271,7,.693,0
20,.342,40,.698,3
42,.305,23,.748,0
0,.133,0,.333,0
6,.321,2,.634,1
25,.331,28,.725,0
9,.348,8,.809,0
