ORB,SPG,PF,3P%,DRB
0.9,0.6,2.1,0.38,2.2
0.7,1.7,2.9,0.46,3.1
0.5,0.4,1.5,0.293,1.5
0.6,0.9,2.0,0.392,2.6
0.7,0.4,1.8,0.333,2.5
0.2,0.7,2.3,0.359,1.7
0.5,0.3,1.9,0.416,0.7
0.8,1.5,3.0,0.4,2.2
1.0,1.0,3.5,0.167,4.5
0.5,0.6,1.9,0.341,1.8
0.3,1.7,4.7,0.0,2.7
0.4,1.1,2.2,0.345,3.5
0.2,0.7,1.8,0.379,1.0
2.5,1.0,4.0,1.0,3.0
0.6,0.9,2.4,0.342,1.9
0.6,1.9,2.9,0.344,3.4
0.1,1.2,2.6,0.453,2.0
1.2,1.1,2.8,0.369,4.2
0.0,0.3,1.3,0.4,2.3
0.3,0.9,1.5,0.402,1.5
0.2,0.4,1.2,0.467,1.3
1.1,1.6,2.6,0.325,2.5
0.8,1.2,3.2,0.0,2.5
2.7,1.0,3.3,0.0,1.8
0.3,0.3,3.0,0.214,2.0
0.4,0.5,1.8,0.403,1.7
0.4,1.1,2.7,0.306,1.3
1.1,1.3,1.7,0.473,2.3
0.6,0.4,2.0,0.318,1.6
0.2,0.6,1.3,0.308,1.4
0.3,0.5,1.9,0.368,1.5
0.6,0.6,2.3,0.374,1.6
0.2,1.7,2.0,0.358,3.0
2.0,0.6,1.6,0.282,5.9
0.2,0.7,1.1,0.401,1.5
0.6,0.5,1.2,0.312,1.0
1.3,0.7,1.3,0.214,4.0
0.7,0.8,2.6,0.292,2.1
0.5,0.5,2.2,0.36,1.1
0.4,1.0,2.1,0.347,1.6
0.2,0.3,1.2,0.5,0.4
1.8,1.4,2.4,0.391,4.2
0.8,2.5,2.2,0.476,1.8
0.3,0.7,2.6,0.305,1.0
0.8,2.8,1.2,0.2,3.2
0.2,1.3,0.9,0.369,1.1
0.5,0.8,2.6,0.342,2.0
0.6,0.8,1.4,0.42,1.0
0.8,0.8,0.8,0.167,1.8
0.3,0.7,2.1,0.433,1.4
1.3,0.5,2.2,0.389,4.9
0.1,0.7,1.3,0.35,0.8
0.6,0.3,1.9,0.213,2.2
1.0,1.0,2.0,0.294,2.0
0.5,1.6,2.2,0.41,3.8
