2B,GIDP,SH,HR
1,0,0,0
3,2,0,3
21,11,8,7
0,0,0,0
12,9,0,9
7,4,5,2
8,3,0,1
6,3,2,1
4,0,1,0
11,7,0,4
1,0,0,0
0,0,0,0
1,0,1,0
28,5,0,21
12,9,2,7
16,19,7,2
0,0,0,0
33,4,2,4
14,7,1,7
1,0,0,1
2,0,1,0
41,7,2,14
6,5,2,2
19,15,3,11
0,0,0,0
4,5,0,0
3,0,1,0
0,0,0,0
17,12,0,12
9,2,1,0
0,0,0,0
6,5,1,1
2,1,0,3
3,1,0,1
23,10,0,5
1,1,0,1
13,7,2,6
10,5,0,5
11,7,3,4
5,6,0,2
9,4,7,2
1,1,0,0
5,1,0,3
9,5,2,3
13,9,0,6
17,3,9,2
5,2,3,1
0,0,0,0
35,16,1,10
3,0,1,2
14,8,4,3
21,9,12,6
29,7,2,11
5,2,3,1
2,0,0,1
16,5,0,2
0,0,1,0
1,1,0,0
2,0,0,1
0,0,0,1
24,11,0,5
28,10,11,5
20,1,5,1
3,3,0,1
23,10,0,4
11,6,0,6
0,3,0,0
0,0,0,0
0,1,0,0
11,5,1,2
4,1,4,3
0,1,0,0
13,2,1,2
5,5,0,3
2,2,1,0
19,5,7,11
0,0,1,0
1,0,0,0
36,6,2,8
5,2,1,1
15,5,1,3
0,1,0,0
2,0,0,1
10,2,1,0
2,0,1,0
4,1,3,2
0,0,1,0
18,6,1,5
34,13,1,14
1,1,0,0
6,6,0,3
37,17,4,15
0,0,1,0
2,0,0,0
11,0,0,13
