Age,G,BLK%,STL%,AST%,ORB%,Opp,eFG%,Date
24-242,59,5.1,0.0,17.4,20.2,NYK,.500,1986-04-04
24-239,57,0.0,0.0,22.9,15.7,CLE,.500,1986-04-01
24-246,61,0.0,0.0,0.0,15.7,MIL,.000,1986-04-08
24-123,15,0.0,0.0,0.0,0.0,POR,.000,1985-12-06
24-096,5,0.0,0.0,0.0,23.5,DET, ,1985-11-09
24-251,64,2.6,0.0,0.0,0.0,NJN,.500,1986-04-13
24-109,8,0.0,0.0,0.0,0.0,PHI, ,1985-11-22
24-142,20,0.0,0.0,0.0,0.0,NYK, ,1985-12-25
24-131,18,0.0,0.0,0.0,0.0,CLE, ,1985-12-14
24-244,60,0.0,0.0,30.8,0.0,PHI,.000,1986-04-06
24-113,10,0.0,0.0,0.0,0.0,PHI, ,1985-11-26
24-165,26,0.0,0.0,19.6,0.0,IND, ,1986-01-17
24-198,39,1.6,0.0,0.0,11.1,GSW,.500,1986-02-19
24-247,62,0.0,0.0,0.0,0.0,NJN, ,1986-04-09
24-163,25,0.0,0.0,0.0,0.0,DEN,.000,1986-01-15
24-103,6,0.0,0.0,0.0,0.0,IND,.500,1985-11-16
24-193,36,0.0,0.0,0.0,0.0,POR, ,1986-02-14
24-127,16,0.0,0.0,0.0,0.0,ATL, ,1985-12-10
24-223,52,22.6,0.0,0.0,0.0,PHI,.000,1986-03-16
24-089,3,0.0,0.0,0.0,0.0,WSB, ,1985-11-02
24-215,49,14.7,0.0,0.0,0.0,WSB, ,1986-03-08
24-107,7,0.0,0.0,61.6,0.0,UTA,.000,1985-11-20
24-128,17,5.7,0.0,0.0,12.0,SAC,.333,1985-12-11
24-235,56,3.6,0.0,6.4,26.7,WSB,.143,1986-03-28
24-205,43,0.0,0.0,0.0,0.0,SAS,.500,1986-02-26
24-170,28,8.5,0.0,0.0,0.0,LAL,.000,1986-01-22
24-179,30,4.9,4.2,20.5,17.4,WSB,.250,1986-01-31
24-249,63,3.1,0.0,0.0,0.0,CLE,.000,1986-04-11
24-225,53,4.2,0.0,7.6,10.5,CLE,.333,1986-03-18
24-166,27,0.0,0.0,0.0,0.0,ATL, ,1986-01-18
24-121,14,0.0,0.0,0.0,45.7,NJN,1.000,1985-12-04
24-211,46,19.3,0.0,0.0,21.1,CHI,.250,1986-03-04
24-192,35,0.0,0.0,0.0,0.0,SEA, ,1986-02-13
24-081,1,0.0,0.0,0.0,0.0,NJN, ,1985-10-25
24-156,24,0.0,0.0,0.0,0.0,CLE,.000,1986-01-08
24-212,47,0.0,0.0,0.0,0.0,CHI, ,1986-03-05
24-155,23,13.0,0.0,0.0,0.0,DET, ,1986-01-07
