ORB%,Rk,TS%,TOV%,Age,AST%,GS,BLK%,DRtg
0.0,14,.000,0.0,36-025,0.0,1,0.0,102
11.1,1,.773,20.5,35-362,15.4,1,0.0,94
13.7,58,.333,0.0,36-134,0.0,0,9.5,102
32.0,49,.532,0.0,36-104,0.0,1,0.0,121
6.2,17,.500,33.3,36-031,0.0,1,0.0,122
10.4,47,.500,50.0,36-098,0.0,1,6.0,101
15.4,67,1.000,25.0,36-154,0.0,1,0.0,91
6.9,2,.000,25.0,35-363,0.0,1,0.0,101
0.0,48,.500,33.3,36-099,0.0,1,8.3,91
7.0,36,.625,20.0,36-073,0.0,1,4.5,119
0.0,22,.875,0.0,36-039,0.0,0,4.7,121
9.9,40,.387,20.5,36-081,4.7,1,0.0,80
0.0,51,.000,50.0,36-108,0.0,1,0.0,117
0.0,69, , ,36-158,0.0,0,0.0,127
31.1,4,.527,16.1,36-003,0.0,1,0.0,94
36.4,64,.750,20.0,36-147,0.0,0,0.0,124
25.3,28,1.000,0.0,36-053,0.0,0,0.0,129
30.1,30,.773,0.0,36-058,0.0,0,0.0,113
7.1,62,.500,33.3,36-142,0.0,1,6.5,129
0.0,19,.500,0.0,36-035,14.0,1,9.0,103
