Name,Country,sex,tour,sl,tr,ju,yob,class,round,date,place,site id,line/ramp,speed
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08ITA01,43.5,0.0,0.0,1966.0,L,1.0,06/15/2008,6.0,ITA0701,1.50@13.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08ITA01,45.0,0.0,0.0,1966.0,L,2.0,06/15/2008,6.0,ITA0701,3.00@13.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08ITA04,43.5,0.0,0.0,1966.0,L,1.0,07/06/2008,4.0,ITA00010,1.50@13.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08ITA04,44.0,0.0,0.0,1966.0,L,2.0,07/06/2008,4.0,ITA00010,2.00@13.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08ITA04,51.0,0.0,0.0,1966.0,L,3.0,07/06/2008,4.0,ITA00010,3.00@12.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08ITA10,44.5,0.0,0.0,1966.0,L,1.0,09/07/2008,10.0,ITA00003,2.50@13.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08ITA10,43.5,0.0,0.0,1966.0,L,2.0,09/07/2008,10.0,ITA00003,1.50@13.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08ITA18,44.5,0.0,0.0,1966.0,L,1.0,09/28/2008,9.0,ITA00010,2.50@13.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08ITA18,45.5,0.0,0.0,1966.0,L,3.0,09/28/2008,9.0,ITA00010,3.50@13.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08SUI01,46.5,0.0,0.0,1966.0,L,1.0,06/21/2008,18.0,SUIEURO,4.50@13.000,58.0
 , , , , , , , , , , , , , , 
SERAFICA Sergio,ITA,M,08SUI01,45.5,0.0,0.0,1966.0,L,2.0,06/21/2008,18.0,SUIEURO,3.50@13.000,58.0
