Player,SPG,TOV,FGM,#,MPG,3P%,FGA
Kris Rolle,0.1,0.3,0.4,63,7.2,0.0,0.6
Jeron Belin,0.8,1.8,3.4,13,23.2,0.277,8.3
Lamin Fulton,1.1,1.9,3.2,17,29.6,0.345,8.7
Yvon Raymond,1.1,1.7,2.4,25,21.8,0.274,5.4
Kinzey Reeves,0.1,0.5,0.6,56,9.5,0.362,1.6
Kaimondre Owes,0.5,1.3,2.6,22,18.9,0.205,6.2
Jon Hogga,0.2,0.7,1.1,46,12.6,0.207,2.9
Gaetano Spera,0.0,0.2,0.2,68,11.3,0.0,1.3
Jack Hill,0.2,0.5,0.6,59,8.6,0.0,1.3
Raul Orta,0.9,1.7,3.9,7,30.8,0.365,9.7
Ryan Bacon,0.9,2.1,3.7,15,26.0,0.0,7.1
Markese Tucker,0.2,0.5,2.0,34,12.4,0.0,3.9
Quadir Welton,0.5,1.3,2.2,28,23.0,0.0,4.7
Kee-Kee Clark,2.2,3.4,8.2,1,38.6,0.365,20.4
Howard Sellars,0.1,0.2,0.5,60,7.2,0.091,1.8
Corey Hinnant,0.6,0.9,2.4,23,20.5,0.31,6.3
Tim Spitler,0.8,1.1,0.8,51,13.5,0.19,2.1
Marvin Dominique,1.0,1.9,5.5,2,33.1,0.347,11.9
Tyler DeChalus,0.0,0.2,0.0,75,2.6,0.0,0.8
Chineme Usuwa,0.0,0.2,0.2,66,1.5,0.0,1.2
Kabeya Kabongo,0.1,0.3,0.2,74,4.8,0.0,0.8
Nick Leon,1.1,3.0,3.9,5,31.7,0.357,10.3
Jamin Shumate,0.2,0.7,0.5,65,7.8,0.0,0.8
Chris Burke,0.8,1.2,1.9,31,21.3,0.322,4.5
Elias Desport,0.2,0.7,0.7,52,12.9,0.25,1.8
Simeon Dennis,0.2,0.2,0.2,70,4.2,0.333,0.8
Melvin Robinson,0.3,1.2,1.7,38,13.2,0.2,4.6
Chris Prescott,0.3,1.4,2.2,24,20.1,0.322,6.5
