FGA,ORB,3P%,MIN,DRB
15.9,1.0,0.296,24.4,3.2
9.9,0.4,0.326,23.2,2.4
10.5,1.2,0.383,12.1,5.2
13.7,1.0,0.338,31.0,4.1
8.3,2.4,0.211,27.2,7.8
12.4,0.8,0.295,23.9,2.6
12.9,0.7,0.341,28.4,4.2
14.7,1.1,0.277,23.8,2.7
7.5,0.9,0.419,27.5,4.2
12.3,1.0,0.385,36.3,4.2
11.8,0.6,0.311,30.2,2.4
14.4,0.9,0.33,31.4,3.3
12.1,0.8,0.374,22.6,5.3
13.1,0.5,0.426,27.7,2.5
16.8,0.5,0.287,37.5,3.2
11.7,0.7,0.384,14.8,3.1
10.9,2.1,0.125,26.7,4.1
16.1,1.0,0.372,24.0,2.7
17.5,0.4,0.387,20.8,2.6
9.7,0.2,0.344,20.0,2.2
16.4,0.4,0.376,29.3,1.7
16.5,0.5,0.416,38.5,6.9
12.3,1.2,0.359,17.8,3.4
7.9,0.8,0.224,13.0,2.7
14.5,0.3,0.355,21.8,3.2
11.4,1.1,0.317,34.7,4.4
12.4,0.7,0.302,28.6,2.8
9.0,0.3,0.415,17.7,3.6
14.1,0.5,0.3,36.0,3.3
10.5,1.1,0.315,31.0,3.5
12.1,0.5,0.398,34.8,2.3
9.9,0.7,0.28,9.9,2.6
7.9,1.2,0.282,30.1,4.3
13.3,0.3,0.366,30.5,2.3
16.8,0.9,0.356,33.5,4.9
10.2,0.5,0.378,12.3,2.4
15.3,0.9,0.337,24.4,3.5
16.5,1.3,0.258,34.6,3.9
13.6,2.0,0.322,38.7,3.9
12.9,0.9,0.385,27.8,4.2
