AVG,POS,SF,SO,SLG,RBI,CS,H
0.22,1B,1,30,0.407,13,1,20
0.19,3B,0,19,0.242,12,2,29
0.333,3B,0,4,0.5,1,0,8
0.277,3B,5,70,0.422,60,1,107
0.253,3B,3,128,0.367,83,4,120
0.259,3B,0,10,0.333,7,0,14
0.185,3B,0,2,0.296,0,0,5
0.295,3B,3,97,0.552,106,1,141
0.235,1B,4,113,0.371,68,0,107
0.212,3B,0,10,0.273,4,0,7
0.355,3B,1,34,0.645,35,4,54
0.167,1B,0,6,0.167,0,0,2
0.285,1B,3,86,0.455,55,5,117
0.311,3B,5,78,0.535,98,0,158
0.237,1B,0,17,0.289,7,0,18
0.264,1B,2,22,0.38,20,0,43
0.291,1B,8,122,0.603,103,6,132
0.222,1B,4,58,0.297,30,1,59
0.281,3B,3,86,0.401,44,4,105
