PF,SPG,#,APG,MPG,3P%,FG%,ORB,FTM,3PA
3.3,1.0,11,2.1,27.4,0.357,0.548,2.2,3.2,1.6
3.0,1.5,67,5.2,28.8,0.278,0.343,0.5,0.2,4.5
1.6,0.8,21,1.8,28.4,0.485,0.446,1.1,4.2,4.1
3.2,2.1,42,3.9,27.4,0.262,0.345,0.1,1.8,4.7
2.2,2.3,1,1.7,35.4,0.4,0.504,1.1,7.0,4.4
1.1,1.1,32,1.8,27.3,0.229,0.409,0.8,1.3,3.9
1.5,0.2,70,2.9,22.5,0.385,0.489,0.5,0.4,3.2
2.1,2.1,46,0.7,22.2,0.321,0.439,1.1,2.4,3.1
2.8,1.8,47,2.1,23.3,0.083,0.481,0.9,3.1,1.3
1.8,0.4,81,0.2,15.2,0.667,0.657,1.8,1.0,0.3
3.0,0.8,4,1.3,32.0,0.4,0.451,3.6,3.8,2.2
2.0,2.6,6,5.4,36.8,0.239,0.407,1.3,3.9,5.1
2.7,2.2,57,1.7,23.0,0.292,0.329,0.6,1.7,2.7
2.8,0.7,90,0.3,17.7,0.258,0.392,1.6,0.7,3.4
1.5,0.8,83,1.2,19.2,0.538,0.6,0.8,0.2,2.2
2.6,1.0,25,0.6,28.4,0.0,0.494,2.6,1.2,0.1
1.7,1.5,34,2.2,23.8,0.474,0.468,1.2,1.7,3.2
2.3,1.2,36,0.9,26.1,0.0,0.551,0.9,1.9,0.0
2.9,0.9,99,0.0,27.0,0.167,0.37,1.3,1.6,2.0
2.0,0.7,71,0.7,16.7,0.714,0.667,0.3,0.0,2.3
2.2,0.8,49,1.7,22.8,0.234,0.302,0.1,1.7,5.2
2.5,0.8,93,0.6,24.5,0.25,0.516,2.1,1.8,0.5
2.6,1.3,84,1.0,23.0,0.238,0.344,1.0,1.1,2.3
1.6,0.6,27,1.1,28.9,0.229,0.442,0.9,1.2,4.4
1.8,3.1,24,5.9,31.6,0.25,0.366,0.9,3.7,4.4
2.4,0.2,33,0.2,21.8,0.5,0.463,1.2,1.0,4.0
2.8,0.2,96,0.5,23.8,0.692,0.706,0.3,0.3,2.2
2.8,2.4,12,2.0,36.0,0.343,0.517,2.0,2.3,3.9
1.7,0.7,95,0.3,18.5,0.235,0.275,1.5,1.5,2.8
2.2,1.8,31,2.2,27.8,0.333,0.474,0.8,4.0,2.0
2.3,1.8,63,0.9,27.0,0.208,0.361,1.1,0.6,2.7
3.8,1.0,44,0.1,24.5,0.25,0.475,2.4,2.1,0.5
2.2,1.0,87,0.9,18.4,0.292,0.383,1.0,0.8,3.0
2.1,0.5,23,0.9,25.1,0.368,0.459,2.1,1.8,2.4
1.4,0.4,68,0.8,22.9,0.333,0.383,1.8,1.3,2.7
2.4,1.3,85,0.4,22.6,0.167,0.415,3.3,2.0,1.3
2.2,0.4,100,0.0,18.2,0.333,0.545,1.2,0.6,0.6
2.6,1.0,66,1.6,24.8,0.444,0.485,0.6,3.1,1.1
1.2,0.2,74,0.6,16.7,0.25,0.414,1.0,0.4,3.1
2.4,1.8,89,1.1,24.1,0.31,0.288,0.6,1.7,3.2
1.7,0.6,41,1.6,29.7,0.353,0.378,1.0,2.0,3.8
3.0,1.7,15,1.6,29.8,0.362,0.394,0.4,2.1,6.4
1.8,0.5,50,1.1,25.9,0.308,0.314,0.5,0.9,6.5
2.5,1.1,38,3.4,26.8,0.071,0.529,0.6,3.4,1.8
2.8,0.8,22,1.0,24.6,0.0,0.554,1.5,3.5,0.5
1.3,1.1,78,1.1,17.0,0.357,0.382,0.2,0.1,4.7
2.4,1.7,61,2.0,22.3,0.37,0.385,0.7,2.3,3.9
3.2,0.6,35,0.8,27.4,0.5,0.515,1.3,0.6,4.2
1.0,0.0,55,0.0,10.0,0.0,0.667,1.0,4.0,0.0
1.3,0.9,37,1.6,21.9,0.386,0.448,0.1,1.8,4.9
1.8,0.2,58,0.5,19.2,0.389,0.426,1.9,1.4,2.2
2.7,1.0,77,0.7,24.3,0.318,0.316,1.2,1.3,3.7
2.1,1.1,28,0.9,22.2,0.4,0.493,0.4,2.8,3.9
3.0,0.6,75,0.7,25.7,0.4,0.409,0.6,1.2,3.3
1.3,1.0,76,1.4,21.3,0.222,0.274,0.6,1.7,5.0
1.7,0.8,17,0.8,33.7,0.304,0.391,0.8,1.6,7.7
1.8,0.8,79,3.0,26.6,0.316,0.39,0.5,1.6,2.4
