Team,SF,G,HR,OBP,H,GIDP,SB
KAN,1,7,0,.267,7,1,1
GBO,1,6,1,.227,4,2,0
SAV,0,3,0,.250,3,0,0
KAN,0,39,2,.359,44,7,7
LEX,0,24,2,.258,19,2,1
ASH,5,137,14,.400,162,14,6
COL,5,106,13,.276,81,10,2
AUG,2,107,5,.277,82,6,25
LEX,4,132,9,.332,123,18,27
HAG,1,50,4,.338,48,8,1
LC,0,44,5,.413,41,2,1
HAG,2,91,4,.296,50,5,4
LC,4,129,4,.312,98,0,32
LWD,4,102,10,.380,98,5,1
AUG,8,123,0,.355,111,9,35
HAG,0,15,0,.322,10,0,1
HIC,5,112,4,.274,88,9,10
LC,5,116,12,.323,102,6,12
GVL,1,91,5,.342,90,3,33
HAG,0,1,0,--,0,0,0
GBO,2,111,13,.347,125,5,5
GBO,0,69,3,.357,68,3,2
LEX,0,10,1,.351,8,2,0
LWD,0,4,0,.400,5,0,0
CSC,0,27,1,.247,18,3,1
AUG,4,34,4,.273,24,1,7
SAV,0,1,0,.400,2,0,0
LC,0,10,1,.351,10,3,0
LWD,0,2,0,.200,1,0,0
LWD,6,127,3,.300,109,11,14
WV,5,103,3,.332,133,11,32
LWD,4,114,9,.382,129,10,22
HAG,0,38,0,.228,27,4,0
KAN,0,20,0,.278,13,5,3
ASH,0,31,2,.375,41,1,5
ROM,1,123,4,.311,113,3,10
ASH,1,94,11,.288,76,5,12
ROM,0,15,3,.220,10,1,0
GBO,1,71,6,.249,54,18,0
KAN,3,58,6,.332,55,5,4
ROM,2,76,4,.244,55,7,10
DEL,0,18,0,.219,2,2,3
AUG,2,123,17,.312,122,8,1
AUG,4,119,9,.329,115,12,11
LEX,2,61,12,.329,59,2,7
LWD,3,55,1,.357,55,4,2
COL,0,8,0,.154,1,2,0
GVL,0,16,0,.345,10,4,0
LEX,5,74,4,.282,51,8,0
AUG,0,26,5,.373,27,1,2
SAV,4,78,1,.280,65,3,4
CSC,3,134,4,.302,112,14,17
SAV,3,84,8,.314,79,9,14
HAG,0,58,2,.377,59,2,33
HAG,3,116,17,.327,109,6,1
HAG,0,23,2,.348,21,2,8
GBO,0,0,0,--,0,0,0
WV,3,104,10,.407,129,3,15
CSC,4,131,8,.356,125,10,12
KAN,4,123,14,.308,129,8,10
SAV,6,90,11,.316,85,8,2
AUG,8,117,15,.359,118,8,3
WV,0,34,4,.291,28,3,1
HAG,1,63,0,.300,47,4,28
GVL,0,1,0,.000,0,0,0
HAG,0,56,3,.297,37,6,1
ROM,1,19,0,.132,5,1,1
SAV,2,90,0,.292,66,7,16
HIC,1,36,0,.293,31,1,5
WV,2,137,13,.346,130,14,13
KAN,2,16,0,.408,26,3,0
CSC,4,96,11,.348,102,11,2
HIC,3,84,2,.312,72,8,1
CSC,0,31,1,.314,22,2,3
SAV,0,5,1,.364,5,0,0
COL,3,122,5,.361,132,7,45
GVL,1,35,2,.238,29,1,0
AUG,0,25,0,.344,24,0,4
ASH,0,16,0,.246,9,0,1
COL,0,15,0,.338,10,0,1
COL,2,55,3,.376,50,2,2
ASH,2,55,6,.264,40,2,1
SAV,0,1,0,--,0,0,0
ASH,2,121,6,.361,136,6,73
GBO,0,33,2,.230,21,0,0
KAN,1,41,0,.263,31,3,2
KAN,0,17,0,.294,8,2,0
HIC,4,127,12,.320,125,7,2
CSC,1,104,10,.344,122,8,3
GBO,6,79,19,.381,89,5,15
DEL,3,126,4,.385,137,3,37
KAN,2,45,6,.359,51,2,5
HAG,1,16,1,.302,12,2,1
KAN,1,22,3,.303,16,2,1
GVL,4,83,7,.341,91,16,3
CSC,0,2,0,.500,1,0,0
GBO,2,72,7,.275,60,6,3
LWD,1,40,0,.258,29,4,2
AUG,0,29,0,.302,23,1,3
ROM,0,1,0,--,0,0,0
LWD,0,129,4,.321,117,10,9
ROM,0,27,0,.202,19,3,1
SAV,1,40,3,.316,19,1,3
HAG,2,28,3,.307,31,5,0
ROM,0,27,0,.318,17,1,0
LC,1,40,1,.308,32,4,1
LEX,5,80,8,.318,67,3,1
HIC,1,15,0,.133,3,1,0
COL,1,111,1,.282,98,11,19
WV,4,131,19,.350,140,10,4
GBO,1,116,10,.326,121,8,6
WV,2,137,13,.388,156,2,14
KAN,8,124,10,.355,119,8,11
LEX,2,58,0,.267,41,3,2
AUG,6,121,3,.303,111,7,4
AUG,0,19,0,.333,11,0,2
ROM,1,77,1,.354,60,4,6
KAN,0,14,3,.365,18,1,0
CSC,1,115,8,.303,101,4,29
LC,4,121,5,.321,98,8,19
GVL,2,97,4,.301,97,12,11
SAV,3,46,2,.285,46,5,3
WV,2,131,0,.337,154,2,34
SAV,0,32,1,.252,21,1,2
WV,0,47,0,.294,37,3,16
KAN,3,78,12,.366,80,4,3
CSC,0,12,1,.162,2,1,1
HIC,3,56,7,.284,56,4,0
WV,0,45,4,.303,27,2,0
HAG,4,71,10,.339,87,4,0
CSC,1,132,17,.376,171,16,2
AUG,0,20,0,.246,11,3,0
HAG,1,41,1,.266,23,3,1
GVL,0,26,0,.306,23,0,2
SAV,0,43,1,.309,38,3,3
SAV,0,1,0,.000,0,0,0
CSC,0,8,0,.385,4,0,0
GBO,1,74,8,.305,54,6,4
CSC,0,15,0,.229,4,0,1
SAV,1,38,0,.367,34,4,0
HIC,4,64,6,.324,61,4,6
ROM,7,120,11,.388,145,4,15
GVL,1,115,8,.328,106,8,15
WV,5,82,3,.365,75,3,15
COL,0,46,0,.307,40,6,0
KAN,0,21,0,.273,10,2,2
COL,1,13,0,.269,12,2,0
HIC,6,59,1,.318,48,4,2
LC,0,83,8,.370,72,4,47
LC,5,106,3,.291,88,5,4
HAG,0,1,0,--,0,0,0
GVL,0,21,0,.402,31,2,0
ROM,0,1,0,--,0,0,0
COL,1,42,4,.320,29,4,7
ROM,0,1,0,--,0,0,0
ROM,0,118,1,.296,106,4,28
SAV,0,30,2,.382,29,2,0
HIC,4,72,14,.394,100,10,7
SAV,7,95,5,.347,104,6,24
KAN,2,37,0,.238,26,2,2
LEX,1,10,0,.316,9,0,1
SAV,1,31,2,.252,22,2,1
LWD,1,91,5,.321,84,7,4
GBO,2,33,7,.306,27,4,0
ROM,6,127,26,.307,118,8,8
ROM,0,2,0,.286,2,0,0
DEL,3,81,0,.298,60,3,13
SAV,1,54,5,.347,61,2,1
SAV,0,1,0,--,0,0,0
LEX,1,24,1,.315,17,2,0
HIC,2,49,8,.294,40,3,5
