BB,3B,AB,POS,Team,SB,OBP
23,4,403,3B,ARI,2,0.317
47,0,220,1B,CIN,1,0.39
2,0,31,1B,COL,0,0.294
14,0,60,3B,LAD,4,0.373
25,2,432,3B,COL,2,0.328
3,0,51,1B,CIN,0,0.222
2,0,63,1B,COL,0,0.348
7,0,73,3B,SD,1,0.296
1,0,56,3B,PHI,0,0.19
52,1,597,3B,CIN,20,0.336
95,2,595,3B,STL,5,0.375
23,0,582,3B,ATL,6,0.292
2,0,48,1B,CIN,0,0.22
21,1,494,3B,MIL,3,0.33
82,0,494,1B,WSH,3,0.362
0,0,30,1B,CIN,1,0.097
4,1,67,3B,COL,0,0.38
9,1,81,3B,PHI,1,0.3
39,3,588,3B,SF,0,0.324
22,7,520,3B,PIT,18,0.347
2,0,39,3B,PIT,0,0.22
19,1,310,3B,MIA,1,0.3
1,0,9,3B,MIL,0,0.2
90,4,607,1B,ATL,3,0.386
65,4,478,3B,CHC,1,0.341
0,0,2,1B,PIT,0,0.0
22,1,279,3B,SD,4,0.296
63,0,360,1B,PIT,0,0.344
22,1,214,1B,WSH,0,0.342
73,1,524,1B,CHC,5,0.386
9,1,153,1B,ARI,0,0.299
67,1,616,3B,MIA,4,0.355
14,2,240,1B,SD,6,0.286
2,0,15,1B,STL,0,0.333
3,0,73,1B,SF,0,0.234
8,0,102,1B,PHI,0,0.31
45,1,398,3B,PIT,8,0.312
56,0,591,1B,LAD,1,0.335
0,0,16,3B,ARI,0,0.188
5,0,56,3B,COL,0,0.281
1,0,60,3B,SF,0,0.302
8,0,193,3B,SF,1,0.281
