DRB%,MP,STL%,Tm,Opp,ORB%,G
4.0,24:00,2.0,PHO,MIN,4.2,4
10.5,26:00,0.0,PHO,GSW,0.0,10
0.0,18:00,0.0,PHO,HOU,0.0,24
7.1,17:00,0.0,PHO,LAC,0.0,47
4.3,30:00,3.0,PHO,MIL,3.4,13
37.2,3:00,0.0,PHO,NYK,0.0,43
0.0,7:00,0.0,PHO,POR,0.0,8
3.5,39:00,0.0,PHO,LAC,2.5,1
0.0,15:00,0.0,PHO,BOS,0.0,32
0.0,8:00,0.0,PHO,MIL,0.0,45
5.0,18:00,2.5,PHO,DEN,0.0,23
5.5,38:00,0.0,PHO,POR,3.3,2
8.0,12:00,0.0,PHO,UTA,0.0,36
0.0,3:00,0.0,PHO,SAC,0.0,40
0.0,1:00,0.0,PHO,PHI,0.0,39
12.5,22:00,0.0,PHO,SEA,0.0,5
6.1,18:00,0.0,PHO,ATL,0.0,33
0.0,1:00,0.0,PHO,GSW,0.0,9
0.0,11:00,0.0,PHO,POR,0.0,50
0.0,3:00,0.0,PHO,ATL,0.0,26
0.0,6:00,0.0,PHO,LAC,0.0,7
0.0,15:00,0.0,PHO,MIN,7.6,29
8.9,24:00,0.0,PHO,POR,4.8,38
