ORB%,DRtg,TS%,USG%
14.8,108,.488,23.2
18.3,118,.129,14.9
37.5,115,.546,23.8
36.4,110,.237,27.8
8.1,88,1.136,3.2
17.7,80,.600,21.8
0.0,97,.667,10.4
0.0,117,.387,23.5
0.0,112, ,4.3
0.0,111,.667,12.1
16.4,97,.667,10.1
0.0,121,.000,25.7
20.6,99,.822,12.9
9.6,118,.500,8.2
15.3,95,.524,19.2
0.0,90,.434,19.4
30.0,93,.765,23.2
25.0,106,1.000,18.3
24.0,96,.518,20.3
27.4,120,.266,15.8
20.4,115,.827,18.9
0.0,101,.000,9.0
21.8,113,1.000,2.9
9.4,99,.773,30.3
8.1,82,.266,5.5
0.0,90,.725,14.5
25.4,96,.615,18.1
8.6,110,.129,19.4
6.3,118,.458,24.7
0.0,96,.387,11.9
11.0,116,.444,30.8
0.0,99,1.000,7.1
25.1,108,.694,17.9
22.0,87, ,0.0
30.8,113,.000,17.0
0.0,120,.615,17.4
5.7,103,.630,14.4
16.8,123,.798,13.7
