MP,TRB%,USG%,G,Tm,eFG%,DRtg,STL%
14:20,3.7,6.9,25,NJN,.000,115,0.0
32:17,5.8,10.1,21,NJN,.571,127,1.7
39:41,2.9,11.4,12,NJN,.400,115,1.2
2:59,0.0,0.0,16,NJN, ,119,0.0
30:37,6.2,14.5,26,NJN,.750,117,3.5
22:59,22.4,10.0,48,NJN,.333,102,2.4
37:55,6.7,5.6,7,NJN,.333,103,0.0
26:26,6.6,8.3,24,NJN,.333,109,0.0
17:41,6.5,15.5,49,NJN,.500,115,3.0
16:59,7.6,11.1,50,NJN,.250,126,0.0
13:35,7.7,10.2,51,NJN,.000,121,0.0
32:15,4.9,6.7,41,NJN,.500,130,0.0
7:48,0.0,21.0,1,NJN,.000,130,0.0
15:50,3.6,15.9,44,NJN,.250,131,0.0
25:21,13.5,13.3,14,NJN,.400,131,0.0
43:47,7.9,19.3,6,NJN,.417,102,1.4
