Rk,G#,Date,Tm,Opp,Result,Quarter,Type,Dist,Quarterback,Score Before,Score After
1,3,1963-09-29,DET,CHI,L 21-37,3,Receiving,67,Earl Morrall,Trail 7-35,Trail 14-35
2,3,1963-09-29,DET,CHI,L 21-37,4,Receiving,38,Earl Morrall,Trail 14-37,Trail 21-37
3,4,1963-10-06,DET,SFO,W 26-3,4,Receiving,30,Milt Plum,Lead 19-3,Lead 26-3
4,5,1963-10-13,DET,DAL,L 14-17,4,Receiving,30,Earl Morrall,Trail 0-10,Trail 7-10
5,5,1963-10-13,DET,DAL,L 14-17,4,Receiving,70,Earl Morrall,Trail 7-17,Trail 14-17
6,6,1963-10-20,DET,BAL,L 21-25,1,Receiving,40,Earl Morrall,Tied 0-0,Lead 7-0*
7,7,1963-10-27,DET,MIN,W 28-10,4,Receiving,8,Earl Morrall,Lead 21-10,Lead 28-10
8,9,1963-11-10,DET,BAL,L 21-24,2,Receiving,20,Earl Morrall,Trail 0-17,Trail 7-17
9,11,1963-11-24,DET,MIN,L 31-34,2,Receiving,22,Earl Morrall,Trail 14-17,Lead 21-17*
10,13,1963-12-08,DET,CLE,W 38-10,3,Receiving,29,Earl Morrall,Lead 14-10,Lead 21-10
