Name,Height w/o Shoes,Height w/shoes,Weight,Wingspan,Reach,Hand Length,Hand Width,No Step Vert,No Step Vert Reach,Max Vert,Max Vert Reach,Bench,Agility,Sprint,Rank,Drafted
Dwight Howard,"6' 9""","6' 10.25""",240,"7' 4.5""","9' 3.5""",0,0,30.5,"11' 10""",35.5,"12' 3""",7.0,11.21,3.14,29,1
Emeka Okafor,"6' 8.75""","6' 10""",257,"7' 4""","9' 2.5""",0,0,31.5,"11' 10""",34.0,"12' 0.5""",22.0,12.32,3.15,8,2
Ben Gordon,"6' 1""","6' 2.25""",192,"6' 8.5""","8' 3""",0,0,31.5,"10' 10.5""",37.5,"11' 4.5""",12.0,11.28,3.19,17,3
Shaun Livingston,"6' 6.25""","6' 7.5""",186,"6' 11""","8' 9.5""",0,0,26.5,"11' 0""",30.0,"11' 3.5""", ,10.72,3.23,50,4
Devin Harris,"6' 1.75""","6' 3""",170,"6' 7.5""","8' 2.5""",0,0,30.5,"10' 9""",37.0,"11' 3.5""",5.0,11.03,3.19,33,5
Josh Childress,"6' 5.75""","6' 7.25""",196,"6' 11""","8' 9""",0,0,29.0,"11' 2""",36.0,"11' 9""",11.0,11.95,3.38,42,6
Luol Deng,"6' 7""","6' 8""",220,"7' 0.5""","9' 0.5""",0,0,27.5,"11' 4""",31.5,"11' 8""",5.0,11.46,3.34,53,7
Andre Iguodala,"6' 5.75""","6' 6.75""",217,"6' 11""","8' 9.5""",0,0,30.5,"11' 4""",34.5,"11' 8""",4.0,11.17,3.18,38,9
Luke Jackson,"6' 6""","6' 7""",212,"6' 8.5""","8' 7""",0,0,26.5,"10' 9.5""",36.0,"11' 7""",13.0,11.1,3.24,25,10
Kris Humphries,"6' 8.25""","6' 9.5""",238,"7' 0.5""","8' 10.5""",0,0,29.5,"11' 4""",36.0,"11' 10.5""",22.0,11.33,3.2,4,14
Al Jefferson,"6' 8.5""","6' 9.75""",263,"7' 2.5""","9' 2""",0,0,28.5,"11' 6.5""",30.0,"11' 8""",3.0,13.08,3.29,68,15
Kirk Snyder,"6' 6""","6' 6.75""",228,"6' 9""","8' 8""",0,0,30.0,"11' 2""",35.0,"11' 7""",19.0,10.79,3.13,2,16
Josh Smith,"6' 7""","6' 8.25""",221,"7' 0""","8' 10.5""",0,0,32.5,"11' 7""",39.5,"12' 2""",12.0,11.43,3.24,19,17
J.R. Smith,"6' 5.5""","6' 6.75""",227,"6' 10""","8' 8""",0,0,29.0,"11' 1""",35.5,"11' 7.5""",5.0,10.93,3.21,35,18
Jameer Nelson,"5' 11""","6' 0.25""",199,"6' 2.5""","7' 11""",0,0,28.5,"10' 3.5""",33.5,"10' 8.5""",15.0,10.95,3.14,10,20
Nate Robinson,"5' 7.75""","5' 9""",181,"6' 1""","7' 7.5""",0,0,35.5,"10' 7""",43.5,"11' 3""",13.0,10.75,2.96,1,21
Delonte West,"6' 1.5""","6' 2.75""",183,"6' 6""","8' 3.5""",0,0,30.0,"10' 9.5""",35.0,"11' 2.5""",12.0,11.2,3.15,21,24
Tony Allen,"6' 3.5""","6' 4.25""",214,"6' 9""","8' 6""",0,0,31.5,"11' 1.5""",36.5,"11' 6.5""",17.0,10.7,3.19,3,25
Beno Udrih,"6' 2.5""","6' 3.75""",199,"6' 4.5""","8' 2""",0,0, , , , ,2.0, , ,77,28
Tiago Splitter,"6' 10.25""","6' 11.75""",233,"7' 2""","9' 1.5""",0,0,26.0,"11' 3.5""",31.5,"11' 9""",8.0,11.65,3.38,52,28
Jackson Vroman,"6' 9.25""","6' 10.75""",226,"7' 0""","8' 9.5""",0,0,29.5,"11' 3""",33.5,"11' 7""",12.0,10.75,3.25,24,31
Peter Ramos,"7' 1.75""","7' 3.25""",266,"7' 5.5""","9' 3.5""",0,0,24.0,"11' 3.5""",26.5,"11' 6""",2.0,12.61,3.6,73,32
Brandon Bass,"6' 6.25""","6' 7.25""",246,"7' 2.5""","8' 10.5""",0,0,31.5,"11' 6""",33.0,"11' 7.5""",18.0,11.61,3.24,16,33
Andre Emmett,"6' 3.5""","6' 4.5""",216,"6' 9""","8' 4""",0,0, , , , , , , ,80,35
Antonio Burks,"6' 0""","6' 0.75""",191,"6' 6.5""","8' 0.5""",0,0, , , , ,9.0, , ,76,36
Chris Duhon,"6' 0""","6' 1.25""",193,"6' 6.5""","8' 2""",0,0,31.5,"10' 9.5""",35.0,"11' 1""",7.0,10.45,3.14,18,38
Trevor Ariza,"6' 7""","6' 8.25""",201,"7' 2""","8' 11.5""",0,0,29.5,"11' 5""",32.0,"11' 7.5""",8.0,11.63,3.29,44,43
Tim Pickett,"6' 3""","6' 4.25""",207,"6' 7.5""","8' 4.5""",0,0, , , , , , , ,83,44
Bernard Robinson,"6' 5.25""","6' 6.5""",208,"6' 10""","8' 6""",0,0,28.5,"10' 10.5""",34.5,"11' 4.5""",14.0,10.91,3.17,12,45
Pape Sow,"6' 8.5""","6' 10""",233,"7' 2""","9' 0.5""",0,0,28.0,"11' 4.5""",31.5,"11' 8""",18.0,12.13,3.27,34,47
Ricky Minard,"6' 3.25""","6' 4.25""",198,"6' 7""","8' 5.5""",0,0,27.5,"10' 9""",33.0,"11' 2.5""",13.0,10.94,3.1,15,48
Sergei Lishouk,"6' 10.25""","6' 11.5""",244,"7' 0""","9' 1.5""",0,0, , , , , , , ,82,49
Ryan Gomes,"6' 6.5""","6' 7.75""",248,"7' 2""","8' 10.5""",0,0,26.5,"11' 1""",30.5,"11' 5""",9.0,12.49,3.24,54,50
Mike Williams,"6' 5.5""","6' 6.5""",197,"6' 11.5""","8' 9.5""",0,0,23.5,"10' 9""",27.5,"11' 1""", ,11.59,3.42,69,51
Romain Sato,"6' 2""","6' 3.25""",204,"6' 11""","8' 6.5""",0,0,31.5,"11' 2""",35.5,"11' 6""",8.0,11.27,3.18,28,52
Matt Freije,"6' 8.25""","6' 9.5""",234,"7' 1""","9' 0.5""",0,0,29.5,"11' 6""",31.0,"11' 7.5""",13.0,11.15,3.25,27,53
Dijon Thompson,"6' 6.5""","6' 8""",195,"6' 9.5""","8' 7.5""",0,0,33.5,"11' 5""",36.0,"11' 7.5""",12.0,11.37,3.24,22,54
Rickey Paulding,"6' 2.75""","6' 4""",210,"6' 9.5""","8' 5.5""",0,0,30.0,"10' 11.5""",36.0,"11' 5.5""",17.0,11.14,3.17,6,54
Luis Flores,"6' 0.5""","6' 1.75""",202,"6' 7.5""","8' 2.5""",0,0,29.0,"10' 7.5""",32.0,"10' 10.5""",15.0,10.97,3.1,9,55
Lawrence Roberts,"6' 7.5""","6' 9""",233,"6' 9.5""","8' 10.5""",0,0,27.5,"11' 2""",33.0,"11' 7.5""",18.0,12.52,3.3,37,55
Marcus Douthit,"6' 9.5""","6' 11""",223,"7' 4""","9' 3.5""",0,0,25.5,"11' 5""",31.5,"11' 11""",1.0,11.64,3.34,63,56
Rashad Wright,"6' 0.5""","6' 1.75""",190,"6' 10""","8' 2.5""",0,0,28.5,"10' 7""",32.5,"10' 11""",10.0,11.15,3.28,36,59
Omar Quintero,"5' 9.75""","5' 11.25""",170,"5' 11.5""","7' 8.5""",0,0,25.0,"9' 9.5""",29.0,"10' 1.5""",2.0,11.37,3.25,59,No
Jared Reiner,"6' 10""","6' 11.75""",246,"7' 0.5""","9' 1""",0,0,22.0,"10' 11""",26.0,"11' 3""",15.0,12.65,3.56,66,No
Kelvin Pena,"6' 2.25""","6' 3.25""",182,"6' 6.5""","8' 3.5""",0,0,27.5,"10' 7""",32.5,"11' 0""",1.0,11.5,3.24,56,No
Nate Williams,"6' 8.5""","6' 10""",240,"7' 1.5""","9' 1.5""",0,0,23.5,"11' 1""",26.0,"11' 3.5""",1.0,12.6,3.35,72,No
Blagota Sekulic,"6' 9.25""","6' 10.5""",234,"6' 11""","8' 11""",0,0,23.5,"10' 10.5""",31.5,"11' 6.5""",8.0,10.93,3.39,46,No
David Simon,"6' 8""","6' 9""",253,"7' 3.5""","9' 1""",0,0,30.0,"11' 7""",35.0,"12' 0""",19.0,11.8,3.22,13,No
Aleksandar Capin,"6' 0""","6' 1.25""",176,"6' 1.5""","7' 10""",0,0,23.0,"9' 9""",29.0,"10' 3""",4.0,11.5,3.27,60,No
Damien Wilkins,"6' 4.5""","6' 6""",222,"7' 0""","8' 10""",0,0,26.5,"11' 0.5""",31.0,"11' 5""",15.0,11.92,3.15,31,No
Marko Tomas,"6' 6.5""","6' 7.75""",198,"6' 7""","8' 7.5""",0,0,32.0,"11' 3.5""",31.5,"11' 3""", ,11.8,3.23,57,No
Tom Timmerrmans,"6' 10.5""","6' 11.5""",272,"6' 11""","8' 11.5""",0,0,23.0,"10' 10.5""",26.5,"11' 2""",15.0,13.13,3.63,70,No
Aerick Sanders,"6' 6.5""","6' 7.5""",205,"6' 11.5""","8' 10""",0,0,24.5,"10' 10.5""",30.5,"11' 4.5""",9.0,11.98,3.37,58,No
Drago Pasalic,"6' 9.25""","6' 10.75""",231,"6' 11.5""","9' 0""",0,0,25.5,"11' 1.5""",30.0,"11' 6""",8.0,12.97,3.56,71,No
