PO,RF/G,Rtz,Tm,DP,RF/9,Inn
623,7.51,-2,KCR,78,8.90,675.2
25,3.38,-0,CLE,2,7.01,34.2
97,9.18,2,CLE,8,9.99,91.0
11,6.00,-0,TBD,2,6.35,17.0
79,6.69,0,KCR,6,9.43,83.0
281,5.81,-3,SEA,39,8.07,337.0
2,2.00,0,KCR,0,18.00,1.0
57,7.63,-0,MIN,5,8.71,63.0
992,7.89,-1,DET,87,9.41,989.0
214,6.76,-1,LAA,25,8.85,234.0
6,6.00,0,NYY,1,9.00,6.0
852,9.09,-6,BAL,94,9.46,873.0
108,6.33,1,NYY,10,8.48,121.0
99,7.79,-1,TOR,11,10.22,96.0
497,7.59,-0,TEX,51,10.18,456.0
1180,8.87,-2,CHW,131,9.17,1227.2
402,8.29,2,KCR,37,9.21,421.0
167,6.07,-3,NYY,16,9.74,162.2
22,6.00,-0,TOR,2,9.39,23.0
6,6.00,0,CHW,0,6.75,8.0
162,7.77,-0,NYY,16,9.84,156.1
978,8.05,11,LAA,103,9.11,1033.0
424,8.78,-2,BAL,41,9.58,421.0
869,9.37,1,OAK,80,9.57,854.2
40,7.00,-0,KCR,5,9.61,39.1
380,7.16,2,NYY,44,8.52,431.0
1,1.00,0,NYY,0,9.00,1.0
1054,8.22,-5,TBD,116,8.73,1221.0
153,8.89,2,OAK,19,9.13,157.2
7,4.00,-1,TOR,0,7.20,10.0
24,3.00,0,NYY,6,7.59,32.0
1073,9.15,-4,CLE,115,9.66,1066.1
25,6.25,-0,TEX,2,11.25,20.0
39,3.67,-0,CLE,4,7.97,49.2
0,0.00,0,BAL,0,0.00,1.0
23,4.80,-1,CHW,2,9.39,23.0
30,8.50,1,MIN,4,7.85,39.0
