Name,Pos,Location,Ht,Wt,40,Stars,Rivals Rating,Committed,Videos,Pos Rank,State Rank,Visit Date,Recruited By
Jordan Austin 3 stars,OL,"Claremont, CAClaremont","6'5""",267,0.0,3 stars,5.6,06/28/2013,1 video,63.0,76.0,12/13/2013,Peter Sirmon
Chris Brown 4 stars,OL,"Los Angeles, CALoyola","6'6""",285,0.0,4 stars,5.8,12/16/2013,2 videos,16.0,21.0,12/13/2013,Tee Martin
Bryce Dixon 4 stars,TE,"Ventura, CASt. Bonaventure","6'4""",230,0.0,4 stars,5.8,01/04/2014,5 videos,5.0,17.0,01/24/2014,"Peter Sirmon, Marques Tuiasosopo"
Malik Dorton 3 stars,DE,"Bellflower, CASt. John Bosco","6'3""",227,0.0,3 stars,5.7,08/23/2013,12 videos,16.0,43.0,01/24/2014,"Ed Orgeron, Tee Martin"
Jalen Greene 3 stars,QB,"Gardena, CAJunipero Serra","6'3""",195,0.0,3 stars,5.7,12/22/2013,2 videos,14.0,47.0, ,Tee Martin
Ajene Harris 3 stars,ATH,"Los Angeles, CACrenshaw","5'11""",170,0.0,3 stars,5.6,11/07/2013,1 video,41.0,60.0,01/17/2014,Tee Martin
Don Hill 3 stars,DE,"Boise, IDTimberline B","6'3""",240,4.59,3 stars,5.5,12/15/2013,2 videos, , ,12/13/2013,Peter Sirmon
Adoree' Jackson 5 stars,ATH,"Gardena, CAJunipero Serra","5'10""",172,0.0,5 stars,6.1, ,38 videos,1.0,1.0, ,Tee Martin
Rahshead Johnson 4 stars,WR,"Long Beach, CACabrillo","5'11""",175,4.5,4 stars,5.9,01/04/2014,4 videos,19.0,13.0,01/17/2014,Tee Martin
Toa Lobendahn 4 stars,OL,"La Habra, CALa Habra","6'3""",290,0.0,4 stars,5.8,06/11/2012,2 videos,2.0,24.0,12/13/2013,"Johnny Nansen, Peter Sirmon"
Jonathan Lockett 4 stars,DB,"Santa Ana, CAMater Dei","5'11""",172,0.0,4 stars,5.8,12/11/2013,5 videos,10.0,15.0,01/17/2014,"Justin Wilcox, Keith Heyward"
Damien Mama 4 stars,OL,"Bellflower, CASt. John Bosco","6'5""",360,0.0,4 stars,6.0,02/05/2014,16 videos,1.0,4.0,01/24/2014,Tee Martin
Uchenna Nwosu 3 stars,DB,"Harbor City, CANarbonne","6'2""",185,0.0,3 stars,5.5,10/08/2013,1 video, ,97.0,01/17/2014,Tee Martin
Claude Pelon 4 stars,DT,"Mesa, AZMesa C.C.","6'5""",285,0.0,4 stars,5.8,12/12/2013,1 video, , ,10/25/2013,"Keith Heyward, Peter Sirmon"
John Plattenburg 3 stars,DB,"Houston, TXLamar","5'11""",187,0.0,3 stars,5.7,11/19/2013,6 videos,34.0,41.0,01/17/2014,Keith Heyward
Lamont Simmons 3 stars,DB,"Jacksonville, FLRaines","6'2""",185,4.59,3 stars,5.5, ,2 videos, , ,01/24/2014,"Keith Heyward, Tee Martin"
John Smith 5 stars,DB,"Long Beach, CAPoly","6'1""",207,0.0,5 stars,6.1, ,23 videos,2.0,3.0,01/24/2014,"Johnny Nansen, Tee Martin"
Viane Talamaivao 4 stars,OL,"Corona, CACentennial","6'3""",300,0.0,4 stars,5.9,05/30/2013,7 videos,5.0,9.0,01/24/2014, 
Olajuwon Tucker 4 stars,DE,"Gardena, CAJunipero Serra","6'4""",225,0.0,4 stars,5.8,10/19/2013,5 videos,11.0,28.0,01/17/2014,Tee Martin
