Opponent,r,sf,sh,Date,cs,ab,bb,3b
OLE MISS,4,0,1,"Mar 13, 2012",1,32,1,1
PEPPERDINE,2,0,1,"Mar 03, 2012",0,31,6,0
SETON HALL,12,1,0,"Apr 14, 2012",0,33,10,0
EASTERN KENTUCKY,7,1,2,"Feb 22, 2012",1,33,1,2
OHIO STATE,20,0,1,"Mar 20, 2012",0,42,8,0
BALL STATE,9,1,0,"Mar 16, 2012",1,31,5,1
Alabama,6,0,0,"Mar 10, 2012",0,35,6,0
EASTERN ILLINOIS,2,0,0,"Feb 28, 2012",0,33,3,0
OLE MISS,8,0,0,"Mar 14, 2012",0,33,2,0
ST. JOHN'S,5,1,1,"May 11, 2012",0,30,4,0
PEPPERDINE,3,0,0,"Mar 03, 2012",0,33,1,1
CINCINNATI,5,0,1,"Mar 24, 2012",1,27,5,0
BALL STATE,13,0,0,"Mar 18, 2012",1,40,5,0
Pittsburgh,8,0,0,"May 23, 2012",0,38,1,2
WESTERN KENTUCKY,9,0,1,"Apr 03, 2012",1,31,2,0
INDIANA,13,0,0,"Mar 06, 2012",0,40,5,1
Indiana,21,2,0,"Apr 17, 2012",1,40,11,1
OAKLAND,6,1,1,"Feb 26, 2012",0,33,1,0
CONNECTICUT,5,0,1,"Apr 27, 2012",0,33,4,0
Pittsburgh,2,1,0,"May 18, 2012",0,35,2,0
Illinois,4,0,2,"Feb 18, 2012",0,33,3,0
Missouri,11,2,1,"Jun 03, 2012",1,43,0,2
OAKLAND,7,0,0,"Feb 24, 2012",1,34,2,1
Michigan State,7,2,1,"Feb 19, 2012",1,30,3,1
