AST%,TS%,Tm,Opp,G,TRB%,Rk,GS
0.0,.000,UTA,LAL,24,0.0,24,0
0.0,.694,UTA,HOU,44,19.5,44,0
0.0,.500,UTA,CHI,46,9.0,46,0
0.0,1.000,UTA,LAL,28,6.1,28,0
0.0,1.031,UTA,DAL,7,16.0,7,0
0.0, ,UTA,MIN,30,0.0,30,0
0.0,.387,UTA,LAL,2,0.0,2,0
0.0,.000,UTA,TOR,13,18.3,13,0
0.0,.750,UTA,DET,41,0.0,41,0
0.0,.333,UTA,ORL,10,12.6,10,0
0.0,.000,UTA,PHI,22,0.0,22,0
0.0,1.000,UTA,SAS,4,0.0,4,0
7.8,.680,UTA,CLE,17,18.3,17,1
0.0,.333,UTA,IND,27,15.4,27,0
0.0,.000,UTA,GSW,23,0.0,23,0
7.8,.508,UTA,PHO,49,13.6,49,0
0.0, ,UTA,MIN,3,0.0,3,0
0.0,.375,UTA,ORL,5,15.0,5,0
0.0,1.000,UTA,LAC,40,0.0,40,0
0.0,.500,UTA,DEN,25,11.1,25,0
13.5,.725,UTA,TOR,18,5.3,18,0
0.0,1.000,UTA,PHI,19,0.0,19,0
