Date,Opponent,Score,hbp,sf,sh,tb,xbh,hdp,go,fo,go/fo,pa
Mar 12,vs. Grace College (Ind.),"W, 4-3",-,-,-,2,0,-,-,1,-,3
Mar 12,vs. Ripon College (Wis.),"W, 8-6",1,-,1,0,0,-,1,-,-,4
Mar 13,vs. Hood College,"W, 9-3",-,-,-,1,0,-,-,1,-,4
Mar 14,vs. University of Minnesota Morris,"W, 11-2",1,-,-,3,1,-,-,-,-,4
Mar 14,vs. SUNY Fredonia,"L, 12-3",-,-,-,0,0,-,-,-,-,3
Mar 15,vs. University of Scranton,"L, 4-3",-,-,-,2,0,-,1,-,-,4
Mar 15,vs. St. Joseph College (Conn.),"W, 7-2",-,-,-,2,0,-,1,-,-,4
Mar 22,at Salem State University,"L, 3-0",-,-,-,1,0,-,1,-,-,3
Mar 22,at Salem State University,"L, 7-5",-,-,-,1,0,-,1,1,1.00,4
Mar 27,at Bridgewater State University (Mass.),"L, 10-1",-,-,-,0,0,-,1,1,1.00,3
Mar 27,at Bridgewater State University (Mass.),"W, 11-7",-,1,-,4,2,-,-,2,-,5
Mar 28,Framingham State University,"L, 4-3",-,-,-,0,0,-,3,-,-,4
Mar 28,Framingham State University,"W, 7-6",-,-,-,4,1,-,1,-,-,4
Apr 1,at UMass Dartmouth,"L, 4-0",1,-,-,0,0,-,1,1,1.00,3
Apr 1,at UMass Dartmouth,"W, 8-0",1,-,-,0,0,-,2,-,-,3
Apr 3,at MIT,"W, 6-1",-,-,-,1,0,-,1,1,1.00,4
Apr 3,at MIT,"W, 9-6",-,-,-,1,0,-,-,1,-,4
Apr 5,Suffolk University,"W, 8-1",-,1,-,1,0,-,-,2,-,4
Apr 7,at Rhode Island College,"L, 4-1",-,-,-,0,0,-,2,1,2.00,3
Apr 7,at Rhode Island College,"L, 3-0",-,-,-,1,0,-,2,-,-,4
Apr 11,at Gordon College,"W, 18-7",-,-,-,1,0,-,-,1,-,5
Apr 11,at Gordon College,"W, 21-0",-,-,-,4,2,-,-,1,-,3
Apr 14,Eastern Connecticut State University,"L, 6-0",-,-,-,0,0,-,1,-,-,3
Apr 14,Eastern Connecticut State University,"L, 7-0",-,-,-,1,0,-,2,-,-,4
Apr 18,Keene State College,"L, 11-6",-,-,-,1,0,-,1,-,-,4
Apr 18,Keene State College,"W, 2-1",-,-,-,1,0,-,1,-,-,3
Apr 19,at Curry College,"L, 7-6",-,-,-,2,0,-,-,1,-,4
Apr 19,at Curry College,"W, 10-0",-,-,-,1,0,-,-,3,-,5
Apr 21,Plymouth State University,"L, 7-1",-,-,-,0,0,-,1,-,-,3
Apr 21,Plymouth State University,"L, 6-5",-,-,-,4,1,-,1,1,1.00,4
Apr 24,at University of Southern Maine,"L, 2-1",-,-,-,0,0,-,-,2,-,3
Apr 24,at University of Southern Maine,"W, 11-6",-,-,-,5,1,-,-,1,-,5
Apr 28,at Western Connecticut State University,"L, 16-2",-,-,-,1,0,-,-,-,-,3
Apr 28,at Western Connecticut State University,"L, 6-4",-,-,-,3,1,-,-,-,-,4
Apr 29,Brandeis University,"L, 10-4",-,-,-,1,0,-,-,-,-,3
Apr 29,Brandeis University,"W, 3-2",-,-,-,0,0,-,-,-,-,4
May 3,at Eastern Connecticut State University,"L, 9-0",-,-,-,2,1,-,-,-,-,2
May 3,vs. Western Connecticut State University,"L, 2-1",-,-,1,2,0,-,1,-,-,3
