ORtg,TRB%,TS%,eFG%,STL%,DRtg,ORB%,Rk,AST%
53,0.0,.568, ,0.0,118,0.0,69,0.0
147,28.9,.521,.250,1.7,91,11.2,56,3.7
 ,0.0, , ,0.0,79,0.0,15,0.0
160,22.4,.726,.750,2.8,79,19.6,73,8.6
156,10.0,.532,.000,0.0,95,0.0,59,7.4
64,6.9,1.000,1.000,0.0,90,0.0,16,5.1
115,37.1,1.000,1.000,0.0,81,28.6,3,0.0
157,5.0,1.031,1.000,0.0,110,10.0,66,0.0
98,17.5,1.000,1.000,2.0,104,10.7,68,0.0
105,19.2,.518,.400,2.1,113,9.7,61,0.0
49,12.1,1.000,1.000,0.0,96,0.0,55,0.0
105,6.3,.750,.750,3.6,86,0.0,35,0.0
144,0.0,1.042,1.000,0.0,118,0.0,53,0.0
28,7.2,.000,.000,0.0,86,16.7,7,0.0
109,4.4,.694,.500,0.0,126,0.0,38,0.0
66,10.7,.000,.000,10.4,82,22.6,22,0.0
55,14.3,.193,.167,0.0,99,13.3,27,4.9
217,10.7,1.042,1.000,0.0,93,0.0,30,0.0
59,33.0,.200,.200,0.0,101,71.1,8,0.0
130,10.1,.773,.667,3.0,109,7.3,64,0.0
115,11.8,.644,.667,0.0,117,16.7,40,0.0
139,19.5,.521,.500,0.0,112,19.0,18,10.2
0,6.1, , ,0.0,106,0.0,20,0.0
205,9.0, , ,0.0,115,19.0,6,0.0
43,62.6,.000,.000,0.0,67,21.3,1,0.0
42,0.0,.250,.250,0.0,140,0.0,52,0.0
205,13.9, , ,7.0,96,14.0,74,0.0
169,17.2,.694,.500,4.1,78,9.5,26,0.0
167,18.0,.694,.500,0.0,94,14.3,23,14.7
125,23.5,.387,.333,0.0,91,40.0,13,0.0
202,15.0,1.000,1.000,1.6,93,4.6,43,3.7
54,18.8,.250,.250,0.0,89,0.0,31,0.0
 ,11.0, , ,9.2,83,0.0,12,0.0
68,7.2,.521,.500,0.0,113,6.7,57,0.0
200,7.5,1.000,1.000,0.0,106,0.0,32,0.0
135,15.9,.644,.667,2.7,84,0.0,45,7.2
0,24.7, , ,4.5,77,0.0,29,0.0
200,19.2,1.000,1.000,0.0,95,0.0,19,0.0
200,9.0,1.000,1.000,0.0,113,0.0,50,0.0
