Compound name,New/known,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
TA1938 (1),new,AcAib,Ala,Ala,Aib,Iva,Gln,Aib,Aib,Aib,Ser,Leu,Aib,Pro,Leu,Aib,Ile,Glu,Gln,Pheol
TA1909 (2),new,AcAib,Ala,Ala,Aib,Aib,Gln,Aib,Aib,Ala,Ser,Leu,Aib,Pro,Leu,Aib,Ile,Gln,Gln,Pheol
TA1895 (3),new,AcAib,Ala,Ala,Aib,Aib,Gln,Aib,Aib,Ala,Ser,Leu,Aib,Pro,Val,Aib,Ile,Gln,Gln,Pheol
TA1896 (4),new,AcAib,Ala,Ala,Aib,Aib,Gln,Aib,Aib,Ala,Ser,Leu,Aib,Pro,Val,Aib,Ile,Glu-OMe,Gln,Pheol
TA1924 (5),new,AcAib,Ala,Ala,Aib,Iva,Gln,Aib,Aib,Aib,Ser,Leu,Aib,Pro,Val,Aib,Ile,Glu-OMe,Gln,Pheol
TA1910 (6),new,AcAib,Ala,Ala,Aib,Iva,Gln,Aib,Aib,Ala,Ser,Leu,Aib,Pro,Val,Aib,Ile,Glu-OMe,Gln,Pheol
TA1924a (7),new,AcAib,Ala,Ala,Aib,Aib,Gln,Aib,Aib,Aib,Ser,Leu,Aib,Pro,Leu,Aib,Ile,Glu-OMe,Gln,Pheol
TA1909a (8),new,AcAib,Ala,Ala,Aib,Iva,Gln,Aib,Aib,Ala,Ser,Leu,Aib,Pro,Val,Aib,Ile,Gln,Gln,Pheol
TA.VIb (9),known,AcAib,Ala,Ala,Aib,Aib,Gln,Aib,Aib,Aib,Ser,Leu,Aib,Pro,Val,Aib,Ile,Gln,Gln,Pheol
TA.VIa (10),known,AcAib,Ala,Ala,Aib,Iva,Gln,Aib,Aib,Aib,Ser,Leu,Aib,Pro,Leu,Aib,Ile,Gln,Gln,Pheol
TA.VII (11),known,AcAib,Ala,Ala,Aib,Iva,Gln,Aib,Aib,Aib,Ser,Leu,Aib,Pro,Val,Aib,Ile,Gln,Gln,Pheol
TA.Vb (12),known,AcAib,Ala,Ala,Aib,Aib,Gln,Aib,Aib,Aib,Ser,Leu,Aib,Pro,Leu,Aib,Ile,Gln,Gln,Pheol
