Year,Team,League,GP,G,A,Pts,+/-,PIM,PPG,SHG,GWG,TOI,S,PtsPG
2014-15,Vancouver,NHL,82,20,56,76,5,18,4,0,5,18:21,226,0.93
2013-14,Vancouver,NHL,73,16,31,47,0,38,5,0,4,20:36,224,0.64
 ,Sweden,Olympic,6,1,4,5,1,4,0,0,0,19:44,16,0.83
2012-13,Vancouver,NHL,47,12,28,40,12,18,3,0,3,19:01,138,0.85
 ,Sweden,WC,4,1,5,6,2,2,0,0,0,22:12,17,1.5
2011-12,Vancouver,NHL,72,30,37,67,14,40,10,0,6,18:48,229,0.93
2010-11,Vancouver,NHL,82,41,63,104,30,32,18,0,10,18:33,266,1.27
2009-10,Vancouver,NHL,63,29,56,85,36,28,8,0,8,19:08,225,1.35
 ,Sweden,Olympic,4,1,2,3,3,0,0,0,0,14:37,12,0.75
2008-09,Vancouver,NHL,82,31,51,82,24,36,9,0,7,18:47,285,1.0
2007-08,Vancouver,NHL,82,29,45,74,6,50,12,0,7,19:03,247,0.9
2006-07,Vancouver,NHL,81,36,48,84,19,36,16,0,8,18:03,236,1.04
2005-06,Vancouver,NHL,82,22,49,71,7,34,11,0,4,16:39,204,0.87
 ,Sweden,Olympic,8,1,3,4,-,2,-,-,-,-,-,0.5
2004-05,MODO,Swe,49,13,20,33,5,40,4,1,1,-,137,0.67
 ,Sweden,W-Cup,-,-,-,-,-,-,-,-,-,-,-,0.0
2003-04,Vancouver,NHL,82,18,36,54,18,18,1,0,3,13:32,153,0.66
2002-03,Vancouver,NHL,79,14,17,31,8,34,4,0,2,12:26,134,0.39
2001-02,Vancouver,NHL,79,9,23,32,1,32,4,0,2,12:22,117,0.41
2000-01,Vancouver,NHL,75,20,14,34,-3,24,10,0,3,13:00,127,0.45
1999-00,MODO,Swe,50,19,26,45,-,28,-,-,-,-,-,0.9
1998-99,MODO,Swe,50,21,21,42,-,20,-,-,-,-,-,0.84
1997-98,MODO,Swe,45,4,8,12,-,26,-,-,-,-,-,0.27
 ,MODO,Swe Jr.,26,26,14,40,-,-,-,-,-,-,-,1.54
 ,Malmo,Swe Jr.,4,3,3,6,-,4,-,-,-,-,-,1.5
NHL,Total,NHL,1061,327,554,881,177,438,115,0,72,-,2811,0.83
Swe,Total,Swe,194,57,75,132,-,114,-,-,-,-,-,0.68
Olympic,Total,Olympic,18,3,9,12,-,6,-,-,-,-,-,0.67
Swe Jr.,Total,Swe Jr.,30,29,17,46,-,4,-,-,-,-,-,1.53
W-Cup,Total,W-Cup,-,-,-,-,-,-,-,-,-,-,-,0.0
WC,Total,WC,4,1,5,6,2,2,0,0,0,-,17,1.5
