Date,Match,Result,Appearance,MINS,G,A,SHT,SOG,FC,FS,Y,R
7/24/2015,KC @ RSL,W 1-2,Started,61,0,0,2,0,0,0,0,0
7/18/2015,HOU @ RSL,W 0-2,Started,90,0,0,0,0,3,1,0,0
7/11/2015,RSL @ COL,L 1-3,Subbed On,2,0,0,1,1,0,0,0,0
7/4/2015,ORL @ RSL,T 1-1,Subbed On,17,0,0,0,0,1,1,0,0
6/27/2015,CLB @ RSL,T 2-2,Subbed On,23,0,0,0,0,2,0,1,0
6/24/2015,RSL @ NYR,L 0-1,Started,90,0,0,1,1,3,2,0,0
6/21/2015,KC @ RSL,W 1-2,Started,90,0,0,3,2,0,1,0,0
6/7/2015,COL @ RSL,T 0-0,Subbed On,10,0,0,1,0,0,0,0,0
5/30/2015,RSL @ VAN,L 1-2,Started,90,0,0,2,0,2,2,0,0
5/27/2015,RSL @ LA,L 0-1,Subbed On,20,0,0,0,0,0,0,0,0
5/23/2015,NYC @ RSL,W 0-2,Started,90,0,1,3,2,1,0,0,0
5/16/2015,RSL @ MTL,L 1-4,Started,75,1,0,1,1,1,1,0,0
5/9/2015,RSL @ CHI,W 2-1,Started,89,0,1,1,0,0,2,0,0
5/6/2015,LA @ RSL,T 0-0,Started,76,0,0,1,1,2,1,0,0
5/1/2015,SJ @ RSL,T 1-1,Subbed On,27,0,0,1,0,2,1,0,0
4/25/2015,RSL @ NE,L 0-4,Subbed On,32,0,0,0,0,0,1,0,0
4/18/2015,VAN @ RSL,L 1-0,Subbed On,2,0,0,0,0,0,0,0,0
4/11/2015,RSL @ KC,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
4/5/2015,RSL @ SJ,W 1-0,Subbed On,22,0,0,0,0,0,0,0,0
3/29/2015,TOR @ RSL,W 1-2,Started,90,0,0,0,0,1,1,0,0
3/14/2015,PHI @ RSL,T 3-3,Unused Sub,0,0,0,0,0,0,0,0,0
3/7/2015,RSL @ POR,T 0-0,Subbed On,2,0,0,0,0,0,0,0,0
10/22/2014,CHV @ RSL,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/17/2014,RSL @ POR,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/11/2014,SJ @ RSL,W 0-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/5/2014,RSL @ CHV,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/27/2014,RSL @ VAN,L 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
9/19/2014,COL @ RSL,W 1-5,Unused Sub,0,0,0,0,0,0,0,0,0
9/12/2014,RSL @ SEA,L 2-3,Unused Sub,0,0,0,0,0,0,0,0,0
9/6/2014,DAL @ RSL,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/30/2014,RSL @ SJ,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
8/22/2014,RSL @ DAL,L 1-2,Subbed On,10,0,0,0,0,0,0,0,0
8/16/2014,SEA @ RSL,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
8/9/2014,DC @ RSL,W 0-3,Unused Sub,0,0,0,0,0,0,0,0,0
8/2/2014,RSL @ COL,W 1-0,Started,50,0,0,0,0,1,1,0,0
7/30/2014,NY @ RSL,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
7/24/2014,MTL @ RSL,W 1-3,Unused Sub,0,0,0,0,0,0,0,0,0
7/19/2014,VAN @ RSL,T 1-1,Started,58,0,0,1,0,3,1,0,0
7/12/2014,RSL @ LA,L 0-1,Started,72,0,0,0,0,2,3,0,0
7/4/2014,NE @ RSL,W 1-2,Started,90,0,0,1,0,1,1,0,0
6/28/2014,RSL @ CHV,L 0-1,Unused Sub,0,0,0,0,0,0,0,0,0
6/7/2014,POR @ RSL,L 3-1,Subbed On,13,0,0,0,0,0,0,0,0
6/4/2014,RSL @ CLB,T 1-1,Subbed On,18,0,0,1,1,0,0,0,0
5/31/2014,RSL @ SEA,L 0-4,Started,90,0,0,1,0,2,0,0,0
5/24/2014,DAL @ RSL,T 0-0,Started,65,0,0,0,0,1,1,0,0
5/17/2014,COL @ RSL,W 1-2,Started,90,0,1,1,0,5,1,0,0
5/11/2014,RSL @ HOU,W 5-2,Subbed On,30,0,0,1,1,0,1,0,0
5/3/2014,RSL @ CHI,W 3-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/26/2014,VAN @ RSL,T 2-2,Unused Sub,0,0,0,0,0,0,0,0,0
4/19/2014,POR @ RSL,W 0-1,Subbed On,1,0,0,0,0,0,0,0,0
4/12/2014,RSL @ PHI,T 2-2,Subbed On,22,0,0,1,1,1,0,0,0
4/5/2014,RSL @ KC,T 0-0,Subbed On,18,0,0,0,0,0,1,0,0
3/29/2014,TOR @ RSL,W 0-3,Subbed On,6,0,0,2,0,0,0,0,0
3/22/2014,LA @ RSL,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
3/15/2014,RSL @ SJ,T 3-3,Unused Sub,0,0,0,0,0,0,0,0,0
3/8/2014,RSL @ LA,W 1-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/23/2013,CHV @ RSL,W 1-2,Unused Sub,0,0,0,0,0,0,0,0,0
10/19/2013,RSL @ POR,T 0-0,Unused Sub,0,0,0,0,0,0,0,0,0
10/5/2013,DAL @ RSL,T 1-1,Unused Sub,0,0,0,0,0,0,0,0,0
9/28/2013,RSL @ VAN,W 1-0,Started,90,1,0,1,1,4,1,0,0
9/21/2013,SJ @ RSL,L 2-1,Started,59,0,0,0,0,2,0,0,0
9/13/2013,RSL @ SEA,L 0-2,Subbed On,32,0,0,0,0,2,1,0,0
