AB,Player,RBI,POS,AVG,GIDP,HR,SLG,CS,R
61,J Herrera,3,2B,0.23,0,0,0.279,1,5
16,R Martinez,3,2B,0.25,1,0,0.438,0,0
370,R Durham,45,2B,0.289,7,6,0.432,4,64
36,D Richar,3,2B,0.222,1,0,0.278,0,4
505,M DeRosa,87,2B,0.285,9,21,0.481,0,103
34,C Crabbe,2,2B,0.176,0,0,0.206,0,4
266,O Vizquel,23,SS,0.222,4,0,0.267,4,24
205,L Rivas,20,SS,0.22,7,3,0.312,2,25
407,O Hudson,41,2B,0.305,18,8,0.45,1,54
540,S Schumaker,46,2B,0.302,19,8,0.406,2,87
79,L Maza,4,SS,0.228,5,1,0.278,0,7
165,C Burke,12,2B,0.194,2,2,0.273,0,20
393,C Barmes,44,2B,0.29,9,11,0.468,4,47
414,C Izturis,24,SS,0.263,6,1,0.309,6,50
607,C Utley,104,2B,0.292,9,33,0.535,2,113
169,E Bonifacio,14,2B,0.243,2,0,0.337,4,29
216,R Cedeno,28,2B,0.269,6,2,0.352,1,36
547,K Johnson,69,2B,0.287,3,12,0.446,6,86
10,T Perez,0,SS,0.2,0,0,0.2,0,0
579,C Guzman,55,SS,0.316,10,9,0.44,5,77
611,S Drew,67,SS,0.291,5,21,0.502,3,91
569,J Hardy,74,SS,0.283,18,24,0.478,1,78
108,B Bixler,2,SS,0.157,1,0,0.194,0,16
248,C Counsell,14,SS,0.226,5,1,0.302,1,31
75,P Orr,7,2B,0.253,0,0,0.307,0,10
56,J Nix,2,2B,0.125,1,0,0.161,0,2
80,B Lillibridge,8,SS,0.2,0,1,0.338,0,9
