SB,RBI,CS,Team,OBP,R,HR,OPS,POS
2,3,0,NYM,0.259,13,1,0.504,2B
14,104,2,PHI,0.38,113,33,0.915,2B
6,87,0,CHC,0.376,103,21,0.857,2B
8,24,1,PHI,0.292,29,2,0.598,2B
56,68,15,NYM,0.358,113,16,0.833,SS
1,7,0,WSH,0.282,10,0,0.589,2B
7,10,2,STL,0.307,30,0,0.596,SS
1,46,6,COL,0.332,48,8,0.732,SS
4,2,2,SF,0.258,4,0,0.414,SS
0,3,1,SF,0.244,7,0,0.511,SS
3,33,1,ATL,0.377,36,2,0.838,2B
0,2,0,SD,0.289,2,0,0.52,SS
5,35,1,SD,0.26,30,10,0.599,SS
0,1,0,PHI,0.182,1,0,0.382,2B
11,69,6,ATL,0.349,86,12,0.795,2B
1,3,1,PIT,0.278,6,0,0.546,2B
6,55,5,WSH,0.345,77,9,0.786,SS
1,3,1,LAD,0.242,6,1,0.617,2B
7,66,7,HOU,0.314,92,13,0.729,SS
0,15,0,COL,0.288,28,2,0.635,2B
5,23,4,SF,0.283,24,0,0.55,SS
2,74,1,MIL,0.343,78,24,0.821,SS
15,30,6,SF,0.299,32,1,0.681,2B
20,33,5,HOU,0.354,58,6,0.781,2B
0,4,0,LAD,0.282,7,1,0.561,SS
1,2,0,PIT,0.229,16,0,0.423,SS
1,12,0,HOU,0.297,11,2,0.701,2B
15,36,3,CIN,0.384,47,6,0.871,SS
