Date,Opponent,Score,g,a,pts,fpg-fps,gb,dc,to,ct,sh,sh%,sog,sog%
Mar 1,Smith,"W, 20-16",0,0,0,0-0,2,1,3,0,1,0.0,1,100.0
Mar 6,Mount Ida,"L, 17-16",0,0,0,0-0,0,0,0,0,0,-,0,-
Mar 8,at Salve Regina,"L, 20-12",0,0,0,0-0,1,0,1,1,0,-,0,-
Mar 18,vs. Clarkson,"L, 15-7",1,1,2,1-1,3,0,0,0,1,100.0,1,100.0
Mar 20,vs. Mount Holyoke,"L, 17-6",0,0,0,0-0,1,0,2,0,1,0.0,0,0.0
Mar 25,at Worcester St.,"L, 21-12",0,0,0,0-0,1,0,2,0,0,-,0,-
Mar 27,at Bridgewater St.,"L, 20-9",0,0,0,0-0,0,0,1,1,0,-,0,-
Mar 29,Western Conn. St.,"L, 19-10",0,0,0,0-0,2,0,3,0,0,-,0,-
Apr 2,Salem St.,"W, 10-7",1,0,1,0-0,1,2,5,0,4,25.0,2,50.0
Apr 5,at Plymouth St.,"L, 22-3",0,0,0,0-0,2,1,1,2,2,0.0,1,50.0
Apr 8,at Framingham St.,"W, 14-3",0,0,0,0-1,4,0,1,2,1,0.0,0,0.0
Apr 10,Fitchburg St.,"W, 15-10",0,0,0,0-0,3,0,4,1,0,-,0,-
Apr 15,Eastern Conn. St.,"L, 19-10",2,0,2,1-1,0,1,0,0,2,100.0,2,100.0
Apr 19,Keene St.,"L, 14-8",0,0,0,0-0,1,0,0,0,0,-,0,-
Apr 23,at Rhode Island Col.,"L, 18-6",0,0,0,0-0,2,0,1,2,0,-,0,-
Apr 26,at Southern Me.,"L, 24-5",0,0,0,0-1,0,1,2,0,1,0.0,0,0.0
