H,CS,Player,AB
34,1,R Noris,136
18,1,M Delaney,101
8,0,B Webb,43
4,0,J Valdespin,23
12,1,L Escobar,53
8,0,D Garcia,36
7,0,C Holliday,40
32,2,G Mambell,144
43,2,K Mahoney,190
23,0,Y Rodriguez,84
18,1,L Marchena,68
49,0,A Odreman,195
18,0,H Perez,81
5,0,Y Gomes,14
23,8,M De La Cruz,112
28,0,K Vargas,109
12,0,D Hissey,53
1,0,O Tovar,4
49,1,D Anderson,181
2,0,M Ohlman,11
12,0,W Lin,33
34,1,F Martinez,153
32,0,O Dominguez,142
12,2,J Nunez,62
41,0,N Zaleski,147
0,0,F Perez,3
4,0,C Smith,44
38,9,G Ngoepe,160
19,0,G Pena,99
10,0,Y Gonzalez,48
3,0,J Sladek,16
11,0,G Ortiz,66
10,1,S Grimes,41
35,1,T Dayleg,130
5,1,K Wilson,25
1,0,Z Heathcott,10
8,0,S Guerrero,40
10,0,C Vazquez,36
31,2,A Nieto,136
29,1,E Soto,149
1,1,J Del Campo,15
54,1,L Hiller,197
15,0,D Vicioso,52
16,1,I Kang,81
41,4,C Hinojosa,127
4,1,R Garcia,26
6,0,C Kelly,28
33,2,K Teran,86
3,0,D Stewart,19
44,2,J Cruz,166
1,0,M Brady,29
36,6,J Garcia,168
24,3,C Lovett,104
3,0,M Weaver,22
35,4,H Pace,163
6,0,E Mejia,28
0,0,J Thompson,0
8,0,M Pimentel,26
36,0,L Bryan,106
35,2,G Gonzalez,155
19,2,M Alvarez,73
28,2,J Babrick,137
26,4,A Montilla,127
61,2,E Hernandez,207
37,7,E Cintron,161
54,1,K De Leon,201
36,5,J Sierra,107
27,0,K Hinze,103
39,4,K Roque,123
25,2,M McConnell,102
16,0,M Kramer,63
5,0,B Anderson,16
33,4,E Sosa,165
29,1,Y Tejeda,118
4,0,A Buchholz,16
39,1,L Castillo,178
21,2,R Ramos,83
13,1,A Segovia,69
9,0,F Hanvi,52
22,3,D Phillips,91
6,0,W Alvino,34
3,0,C Paulino,9
4,1,N Simon,17
7,1,D Peters,86
24,0,F Arcia,97
2,0,L Montanez,6
18,0,C Greene,63
35,1,E King,138
15,0,X Lopez,72
1,0,C Dunn,3
2,1,R Martinez,23
6,0,W Ramos,19
25,0,E Genoves,107
3,0,J Cabrera,18
1,0,K Hernandez,5
27,3,C Rodriguez,87
38,2,F Gonzalez,168
3,0,J Lopez,11
40,4,J Melenciano,158
2,0,R Schimpf,4
6,0,R Lucas,18
29,0,J Duran,164
1,1,J Benson,5
6,1,G Picart,20
10,1,M Tejada,71
33,0,C Bethancourt,116
20,0,T Yockey,77
9,0,M Lokken,38
4,0,S Bautista,23
10,0,N Tindall,54
12,2,A Romero,48
5,0,E Johnson,16
4,0,T Krick,23
34,1,D Santana,118
22,2,B Anderson,102
46,0,O Arcia,167
29,0,N Washiya,118
1,0,F Cervelli,6
39,2,D Medina,144
11,0,J Polanco,57
29,1,W Gimenez,104
20,2,A Walker,79
29,1,J Mosquera,125
10,2,W Parra,55
4,0,L Hurtado,12
45,3,J Toussen,202
22,0,M Nuzzo,92
5,0,G Duran,13
5,0,L Milledge,17
1,0,D Hord,5
2,0,J Perry,6
29,1,E Gomez,153
5,0,F Bynum,13
42,5,R Fuentes,145
24,1,J Rodriguez,121
2,0,E De Los Santos,8
28,1,G Suniaga,145
37,3,R De La Cruz,165
6,0,J Donald,26
7,0,N Wilson,24
14,0,C Wine,74
2,0,E Gomez,7
38,2,D Falcon,148
5,0,T Glaesmann,18
18,1,A Rodriguez,62
14,0,J Hage,45
46,0,G Olivares,179
40,5,B Gump,126
8,1,F Galvis,29
2,0,J Mather,8
4,0,A Markel,16
19,2,E Duran,86
6,1,R Perez,36
10,1,D Lutz,59
11,0,B Ford,41
19,2,Y Aponte,94
6,0,P Cech,39
40,4,K Rose,142
67,2,M Ozuna,214
0,0,J Cipriota,4
49,4,J Concepcion,160
3,0,M Head,29
26,1,A Diaz,145
27,2,J Marquez,96
5,1,J Nivar,49
10,0,T Barnhart,48
12,0,A Reina,70
30,1,L Paulino,149
4,0,B Dozier,14
6,0,P Aviola,35
20,0,Y Tabares,87
29,2,H Gomez,142
24,1,S Schwindenhammer,124
9,0,D Calderon,44
33,4,W Freeman,157
42,5,J Cuevas,183
17,0,D Perez,72
41,5,M Crouse,188
36,8,W Tovar,148
14,1,O Rodriguez,47
24,1,F De Los Santos,105
3,0,J Dunn,30
16,0,A Sanchez,65
29,0,J Singleton,100
41,5,C Perez,141
11,0,J Murphy,33
1,0,A Green,6
35,5,K Dugan,150
29,0,N Freitas,118
15,1,A Valdez,54
6,0,H Brantley,39
26,2,J Villar,94
16,1,I Harrow,86
46,5,B Gonzalez,159
53,3,G Rodriguez,199
14,1,L Taylor,101
14,0,D Ruf,43
4,0,G Nunez,21
10,1,J Torres,29
14,0,D Washington,85
23,1,H Choi,107
6,0,B Afenir,15
