SO,SF,POS,3B,G,H,SB,BB,RBI,Team
79,4,1B,0,86,90,2,36,52,FW
51,1,SS,2,87,51,1,15,18,BEL
89,3,SS,3,124,122,20,58,27,CLI
102,6,1B,4,114,90,1,33,39,SWM
30,1,2B,0,19,6,1,3,5,SB
12,1,C,1,20,17,0,12,11,FW
52,2,3B,2,90,97,5,27,36,SB
11,0,1B,1,8,4,0,1,1,DAY
8,1,3B,1,9,5,0,4,4,BEL
14,1,SS,1,33,25,2,6,9,PEO
3,0,2B,0,4,2,1,1,1,SB
7,0,C,0,17,10,0,1,3,PEO
35,3,C,0,47,34,0,12,21,BUR
39,0,2B,2,89,103,5,15,35,SWM
87,4,1B,4,126,131,5,48,59,KC
17,1,3B,0,10,3,0,2,2,DAY
91,7,1B,1,114,107,7,61,56,LAN
3,0,C,0,2,0,0,0,0,WM
49,2,1B,5,115,118,3,7,53,DAY
19,0,3B,0,28,28,0,12,7,BEL
22,2,C,2,54,39,0,16,15,SWM
49,7,2B,1,93,103,1,32,47,KC
28,0,2B,0,62,34,2,15,10,SWM
56,1,C,0,64,59,1,37,38,SB
3,1,1B,1,6,7,0,3,5,FW
61,1,C,0,71,42,2,17,21,BEL
2,0,C,0,2,0,0,1,0,LAN
45,1,C,0,86,76,4,37,22,BUR
56,0,C,4,70,43,10,28,11,CR
31,2,1B,0,52,35,5,11,17,WIS
14,0,SS,1,14,8,1,2,3,BUR
109,4,3B,2,130,122,41,65,73,BUR
40,2,1B,0,84,49,8,39,14,KC
87,5,C,1,100,80,6,36,35,CR
67,2,C,0,48,36,3,7,13,SWM
82,5,C,2,109,93,2,44,35,BUR
97,4,3B,3,130,106,7,60,43,CLI
102,1,C,2,98,79,3,44,35,WM
31,2,1B,1,49,43,2,16,20,QC
43,0,SS,2,64,48,2,10,7,CLI
38,0,3B,0,34,23,0,21,10,DAY
13,0,SS,0,21,19,2,6,7,FW
12,1,C,0,15,12,0,1,5,CLI
44,1,3B,3,53,61,1,21,44,FW
104,1,2B,4,127,116,24,32,29,CLI
88,7,1B,0,120,125,3,70,72,SB
18,0,1B,0,25,18,0,10,15,QC
69,0,1B,0,48,34,1,13,18,BEL
6,0,3B,0,10,2,0,0,0,PEO
94,2,2B,6,131,144,10,20,52,DAY
34,0,SS,2,47,49,7,27,16,BEL
66,7,3B,4,122,118,24,25,60,CR
9,0,3B,0,12,4,0,2,1,FW
121,9,3B,1,113,103,2,13,75,BUR
7,0,SS,0,12,10,1,3,1,CR
38,2,C,0,55,29,0,13,17,DAY
33,2,C,2,39,32,3,19,19,WIS
99,7,3B,0,118,94,5,44,59,CR
32,1,SS,0,55,37,0,19,19,FW
17,3,1B,1,32,34,1,22,26,BEL
19,0,SS,0,27,26,0,16,8,FW
96,3,SS,5,128,145,19,32,32,SB
54,0,SS,1,111,124,23,52,38,CR
25,0,3B,0,35,24,0,11,5,DAY
14,0,SS,0,22,23,0,4,6,PEO
37,4,C,2,38,32,0,5,20,WIS
53,4,2B,2,126,132,23,53,39,WM
7,0,SS,0,8,6,0,3,0,QC
59,0,SS,7,74,74,8,22,23,BEL
19,2,1B,0,24,19,1,6,13,CLI
