Rk,GmSc,ORtg,TOV%,DRtg,eFG%,MP,Date,AST%
36,-2.5,0,50.0,103,.000,13:46,2006-03-26,0.0
21,9.2,156,0.0,117,.667,13:42,2006-02-22,13.5
47,11.9,128,8.5,99,.556,29:20,2006-04-17,0.0
30,-5.0,20,29.1,101,.000,12:42,2006-03-12,0.0
2,0.0, , ,135, ,0:50,2006-01-14,0.0
46,12.1,140,10.4,107,.667,23:06,2006-04-16,0.0
42,11.0,168,0.0,111,.750,24:47,2006-04-08,6.0
23,-0.7,53,36.2,101, ,12:16,2006-02-26,0.0
10,6.6,98,12.5,82,.429,20:22,2006-01-30,7.6
33,-0.9,39,0.0,109,.000,11:21,2006-03-19,0.0
37,4.1,147,0.0,119,.600,7:25,2006-03-29,0.0
34,0.7,77,40.0,116,.667,18:41,2006-03-22,7.6
18,0.0,0,0.0,93,.000,12:22,2006-02-13,0.0
26,7.6,85,28.6,71,.200,22:15,2006-03-05,18.6
14,7.4,142,0.0,101,.600,18:14,2006-02-06,0.0
45,1.7,29,0.0,91,.000,26:06,2006-04-13,5.9
41,5.2,113,0.0,108,.250,26:50,2006-04-05,0.0
16,3.5,177,0.0,120,1.000,14:07,2006-02-10,0.0
