ORtg,Age,MP,DRtg,G
177,23-135,14:07,120,16
128,23-201,29:20,99,47
29,23-197,26:06,91,45
53,23-151,12:16,101,23
144,23-167,11:11,92,31
 ,23-140,5:53,93,19
134,23-149,9:35,96,22
156,23-147,13:42,117,21
30,23-196,6:01,116,44
59,23-118,5:17,69,7
96,23-170,13:53,87,32
125,23-154,17:16,105,24
0,23-179,13:46,103,36
55,23-109,8:36,99,3
89,23-127,18:45,108,12
82,23-177,15:08,70,35
113,23-189,26:50,108,41
156,23-188,33:39,98,40
20,23-165,12:42,101,30
167,23-161,24:34,108,28
143,23-186,20:39,104,39
77,23-175,18:41,116,34
147,23-182,7:25,119,37
160,23-185,23:15,111,38
155,23-126,23:10,85,11
127,23-123,19:08,108,9
