Player,RBI,GIDP,2B,HR,CS,SF
J Padilla,12,3,9,1,2,1
J Garcia,3,1,3,0,1,0
R Pena,8,3,2,1,0,0
R Fuentes,7,2,3,0,1,1
E Quiles,1,2,1,1,0,0
R Cancel,10,2,5,0,2,2
E Rosario,20,1,9,4,0,1
J Ruiz,4,2,4,1,0,0
M Bianucci,8,0,4,1,0,0
J Jimenez,8,3,3,2,0,1
I Falu,16,3,8,1,5,3
D Thon,2,0,0,0,0,0
J Ortiz,5,3,1,3,1,0
Y Rivera,6,0,2,0,0,0
M Owings,0,1,0,0,0,0
H Ramos,4,3,11,1,1,1
C Corporan,7,1,4,2,0,2
R Castro,17,2,4,5,0,0
K Blanks,9,1,9,2,0,0
O Mercado,10,1,4,1,0,3
C Pettit,5,0,2,1,0,0
L Murton,4,2,3,1,0,0
C Garcia,1,0,0,0,0,1
L Mateo,15,3,7,1,0,3
J Fernandez,2,0,0,0,0,0
Y Molina,10,5,1,2,1,1
D Gonzalez,10,1,4,0,1,0
A Estades,0,0,0,0,1,0
R Ruiz,16,5,4,3,0,0
J Alfaro,10,0,2,2,2,0
G Valentin,10,0,5,0,1,1
J Monell,17,3,6,7,1,0
R Navarro,18,2,8,0,1,0
D Vidal,1,1,2,0,0,0
J Rodriguez,6,0,2,1,1,0
B Lasater,10,1,3,3,0,0
C Colon,11,1,8,1,4,0
K Torres,1,2,1,0,0,0
J Vazquez,0,0,0,0,0,0
J Bour,6,0,6,1,0,0
J Valentin,0,0,2,0,0,0
D Ortiz,19,1,9,1,0,2
E Clemente,9,0,5,2,0,3
J Centeno,7,4,2,1,0,1
C Vaughn,7,0,5,1,0,1
A Morales,4,1,2,2,3,0
A Garcia,16,4,5,3,1,1
E Baez,12,6,8,3,2,0
H Velazquez,4,2,3,0,1,2
Y Puig,9,1,4,1,2,1
R Ortiz,1,0,0,1,0,0
Y Gonzalez,0,1,0,0,0,0
B Gonzalez,3,0,1,0,1,0
A Garcia,26,6,9,6,2,4
N Ortiz,10,2,8,2,0,1
Z Zaneski,3,1,2,0,3,0
K Nakahara,18,5,5,4,0,3
J Rivera,0,0,0,0,1,0
J Dominguez,7,3,6,2,3,0
G Roa,0,1,0,0,0,0
R Perez,4,2,2,0,0,0
A Sanchez,12,2,6,2,2,2
