STL%,TS%,DRB%,BLK%,DRtg,MP
4.2,.563,32.7,0.0,94,12:00
0.0, ,13.0,8.7,90,8:00
0.0,.667,19.4,0.0,108,13:00
0.0,1.000,0.0,5.5,123,15:00
0.0,.621,21.0,2.1,88,34:00
0.0,.000,34.0,0.0,89,9:00
0.0,.129,14.1,0.0,95,11:00
0.0,.600,15.8,2.7,91,21:00
0.0,.286,8.8,3.4,101,21:00
0.0,.000,38.1,0.0,107,3:00
0.0, ,0.0,13.7,126,5:00
0.0,.000,14.8,0.0,94,9:00
5.2,.000,0.0,6.5,91,10:00
2.8,.254,18.6,4.2,97,18:00
0.0,.333,37.4,14.3,100,11:00
0.0,.543,27.6,0.0,99,18:00
0.0,.333,0.0,5.8,101,12:00
2.8,.518,9.1,4.6,117,17:00
0.0,.250,0.0,0.0,120,12:00
0.0,.820,21.7,0.0,126,13:00
0.0,.500,20.1,0.0,97,13:00
