Player,Pos,Team,Opp,Rush Yards,Rush TDs,Catches,Receive Yards,Receive TDs,Total Yards,Total TDs,FF Pts
Wes Welker,WR,FA,@PIT,0,0,8,90,0,90,0,9.0
Mike Wallace,WR,MIN,NE,0,0,8,130,2,130,2,25.0
Steve Smith,WR,BAL,MIN,0,0,8,120,1,120,1,18.0
Calvin Johnson,WR,DET,@DEN,0,0,7,110,1,110,1,17.0
Nate Washington,WR,HOU,IND,0,0,6,90,1,90,1,15.0
Arian Foster,RB,HOU,JAC,90,1,6,50,0,140,1,20.0
Larry Fitzgerald,WR,ARI,@BAL,0,0,6,80,0,80,0,8.0
Brandon Lloyd,WR,FA,NO,0,0,6,80,0,80,0,8.0
Anquan Boldin,WR,SFO,ARI,0,0,6,100,1,100,1,16.0
Hakeem Nicks,WR,TEN,MIA,0,0,6,100,1,100,1,16.0
Dwayne Bowe,WR,CLE,SD,0,0,6,90,1,90,1,15.0
Miles Austin,WR,PHI,@PHI,0,0,6,90,1,90,1,15.0
A.J. Green,WR,CIN,@SEA,0,0,6,90,1,90,1,15.0
Marques Colston,WR,NOS,@STL,0,0,6,100,1,100,1,16.0
Ray Rice,RB,FA*,ARI,80,1,5,50,0,130,1,19.0
Damian Williams,WR,STL,IND,0,0,5,60,1,60,1,12.0
DeSean Jackson,WR,WAS,DAL,0,0,5,80,1,80,1,14.0
Vincent Jackson,WR,TBB,@KC,0,0,5,80,0,80,0,8.0
Jabar Gaffney,WR,FA,@BUF,0,0,5,70,0,70,0,7.0
Jeremy Maclin,WR,KCC,DAL,0,0,5,60,1,60,1,12.0
Brandon Marshall,WR,NYJ,@NYG,0,0,5,70,1,70,1,13.0
Jerome Simpson,WR,SFO,@SEA,0,0,4,50,0,50,0,5.0
Lance Moore,WR,DET,@STL,0,0,4,40,0,40,0,4.0
Eric Decker,WR,NYJ,DET,0,0,4,50,0,50,0,5.0
Darren Sproles,RB,PHI,@STL,60,0,4,30,1,90,1,15.0
Mario Manningham,WR,FA,MIA,0,0,4,50,0,50,0,5.0
Frank Gore,RB,IND,CLE,120,1,4,20,0,140,1,20.0
Ryan Mathews,RB,PHI,@KC,80,0,4,30,0,110,0,11.0
Dez Bryant,WR,DAL,@PHI,0,0,4,70,0,70,0,7.0
Fred Jackson,RB,BUF,WAS,120,1,4,30,0,150,1,21.0
Michael Jenkins,WR,FA,@CAR,0,0,4,60,0,60,0,6.0
Ahmad Bradshaw,RB,FA*,MIA,60,0,4,30,0,90,0,9.0
Steven Jackson,RB,FA*,NO,70,1,4,20,0,90,1,15.0
Steve Breaston,WR,FA,SD,0,0,4,60,1,60,1,12.0
Doug Baldwin,WR,SEA,CIN,0,0,4,60,1,60,1,12.0
Kevin Walter,WR,FA,JAC,0,0,4,70,0,70,0,7.0
Jason Hill,WR,FA,@HOU,0,0,4,60,1,60,1,12.0
Mike Thomas,WR,FA,@HOU,0,0,4,50,0,50,0,5.0
Greg Little,WR,FA,@SF,0,0,4,60,0,60,0,6.0
Sidney Rice,WR,FA,CIN,0,0,4,50,0,50,0,5.0
LeSean McCoy,RB,BUF,DAL,50,1,4,30,0,80,1,14.0
Torrey Smith,WR,SFO,ARI,0,0,4,50,0,50,0,5.0
Reggie Wayne,WR,FA,@TEN,0,0,4,50,0,50,0,5.0
Peyton Hillis,RB,FA,@SF,30,0,4,20,0,50,0,5.0
Stevie Johnson,WR,SDC,WAS,0,0,4,60,1,60,1,12.0
Antonio Brown,WR,PIT,NE,0,0,4,70,0,70,0,7.0
Jonathan Stewart,RB,CAR,MIN,40,0,3,40,0,80,0,8.0
Demaryius Thomas,WR,DEN,DET,0,0,3,40,0,40,0,4.0
Early Doucet,WR,FA,@BAL,0,0,3,50,0,50,0,5.0
Brandon LaFell,WR,NEP,MIN,0,0,3,40,0,40,0,4.0
Braylon Edwards,WR,FA,CLE,0,0,3,30,0,30,0,3.0
Pierre Thomas,RB,FA*,@STL,60,0,3,20,0,80,0,8.0
Brandon Gibson,WR,NEP,NO,0,0,3,50,0,50,0,5.0
Brian Hartline,WR,CLE,@NYG,0,0,3,30,0,30,0,3.0
Roy Helu,RB,OAK,@BUF,30,0,3,20,0,50,0,5.0
Deion Branch,WR,IND,@PIT,0,0,3,50,1,50,1,11.0
Marshawn Lynch,RB,SEA,CIN,40,0,3,20,0,60,0,6.0
Percy Harvin,WR,BUF,@CAR,10,0,3,40,0,50,0,5.0
