RAA,oWAR,PA,oRAR,162WL%,Rbat,Name,Salary,waaWL%
-2,0.7,124,7,.499,4,Jorge Piedra*, ,.497
0,0.0,0,0,.500,0,Allan Simpson,"$318,000",.501
-0,0.0,22,0,.500,-1,Choo Freeman, ,.497
0,0.0,71,0,.500,-10,Jeff Francis*,"$317,000",.500
1,0.0,4,0,.501,0,Ryan Spilborghs, ,.632
12,2.5,526,25,.508,12,Matt Holliday,"$366,000",.510
-0,-0.0,2,-0,.500,-1,Ryan Speier,"$316,000",.499
3,0.1,248,2,.502,-9,Danny Ardoin, ,.504
-18,-0.1,347,0,.488,-15,Aaron Miles#,"$326,000",.481
-8,-0.4,70,-3,.495,-6,Larry Bigbie*, ,.465
-0,-0.0,6,-0,.500,-1,Mike Esposito, ,.496
0,0.0,0,0,.500,0,Dan Miceli, ,.501
-0,-0.0,3,-0,.500,-0,Tim Olson, ,.486
-1,-0.1,59,-1,.499,-9,Jamey Wright,"$550,000",.497
-2,0.0,43,1,.499,-2,Jeff Baker,"$316,000",.485
-9,0.2,134,3,.495,-2,Todd Greene,"$650,000",.477
0,0.0,0,0,.500,0,Matt Anderson, ,.501
0,0.0,0,0,.500,0,Mike DeJean, ,.501
-51,13.0,6238,147,.500,-99,Team Total,"$47,839,000",.498
2,0.0,34,1,.502,-0,Michael Restovich, ,.519
-8,-0.1,293,-0,.495,-8,Dustan Mohr,"$950,000",.491
0,0.0,0,0,.500,0,Chin-hui Tsao,"$317,000",.501
-3,0.5,102,5,.498,2,Eddy Garabito#, ,.493
-0,-0.0,1,-0,.500,-0,Blaine Neal*, ,.499
-9,0.9,442,10,.494,-5,Luis Gonzalez,"$324,000",.493
4,0.6,104,6,.502,5,Ryan Shealy, ,.510
6,1.5,573,16,.504,-0,Garrett Atkins,"$317,000",.504
0,0.0,35,0,.500,-4,Joe Kennedy,"$2,200,000",.503
0,0.0,4,0,.500,-0,Marcos Carvajal,"$316,000",.501
0,0.0,0,0,.500,0,Javier Lopez*,"$321,000",.500
