SLG,SF,POS,AB,OBP,R
.338,0,OF,195,.286,31
.430,0,OF,121,.364,16
.430,0,OF,344,.397,62
.597,2,SS,159,.366,29
.429,0,DH,14,.471,4
.382,3,SS,340,.373,58
.250,0,3B,8,.333,0
.503,4,DH,348,.413,40
.250,0,LF,16,.368,4
.428,1,LF,285,.368,32
.386,0,OF,158,.324,13
.470,3,DH,351,.365,51
.378,3,3B,296,.393,35
.384,2,SS,323,.319,40
.353,1,3B,119,.308,20
.445,1,2B,146,.357,26
.430,2,SS,179,.465,33
.274,0,OF,95,.297,16
.538,1,C,251,.428,51
.391,1,SS,197,.378,31
.416,2,LF,185,.404,28
.459,2,CF,183,.372,33
.464,3,LF,373,.433,70
.478,2,OF,205,.407,44
.315,2,3B,324,.306,44
.318,2,OF,132,.317,16
.426,2,OF,270,.379,40
.405,1,OF,368,.394,60
.063,0,OF,16,.063,1
.525,2,OF,238,.411,42
.673,1,3B,205,.421,49
.000,0,2B,1,.000,0
.290,3,LF,283,.333,59
.381,0,2B,139,.338,22
.529,6,1B,393,.339,63
.500,2,OF,138,.366,25
.338,1,SS,287,.339,34
.408,2,C,311,.368,35
.469,1,SS,49,.302,13
.204,0,SS,49,.160,3
.528,2,RF,199,.432,34
.000,0,OF,1,.000,0
.479,1,2B,117,.394,22
.428,3,C,341,.382,56
.191,0,C,47,.188,2
.354,3,1B,161,.330,13
.159,0,C,63,.172,10
.398,1,SS,279,.365,48
.000,0,OF,5,.286,0
.664,4,1B,351,.440,70
.398,3,3B,319,.385,59
.431,3,OF,404,.355,71
.186,1,2B,43,.196,8
.609,2,1B,396,.416,74
.462,1,2B,117,.400,24
.486,0,1B,37,.381,5
.427,3,1B,185,.374,27
.382,0,OF,251,.344,34
.344,2,OF,375,.372,64
.209,0,C,86,.268,6
.589,0,OF,90,.466,13
.402,3,2B,291,.331,37
.111,0,2B,18,.111,1
.238,0,RF,42,.319,5
.481,3,OF,420,.380,67
.274,0,OF,106,.369,30
.261,0,C,23,.320,0
.753,0,CF,77,.434,12
.321,1,C,209,.336,24
.525,5,1B,343,.435,73
.428,2,OF,283,.395,47
.446,0,OF,56,.344,8
.408,1,OF,147,.338,24
.356,0,3B,188,.372,34
