USG%,DRtg,TRB%,Date,AST%
12.8,115,8.5,2006-12-10,9.5
17.6,89,17.4,2007-02-13,5.9
7.5,100,13.6,2007-03-17,0.0
22.7,91,12.9,2006-12-08,0.0
20.4,99,14.0,2006-11-02,7.3
12.2,120,11.8,2007-03-15,0.0
8.2,95,21.2,2006-11-05,6.5
16.1,89,36.0,2007-02-14,0.0
7.7,88,9.7,2007-03-08,0.0
20.2,89,21.0,2006-12-06,8.1
18.9,95,21.8,2007-01-24,0.0
7.3,108,19.3,2006-12-16,7.4
12.4,94,8.5,2006-12-11,16.9
19.1,93,18.9,2007-02-20,6.5
6.8,83,16.5,2006-12-14,9.5
27.9,105,5.0,2007-04-18,0.0
16.4,90,17.3,2006-12-13,11.4
4.9,98,27.8,2007-01-31,0.0
13.6,117,13.2,2006-12-20,6.6
17.6,111,9.0,2007-03-06,10.9
4.9,121,12.4,2007-02-11,0.0
9.0,96,13.2,2007-04-15,4.7
