2B,RBI,SLG,SB,AVG
2,8,0.247,1,0.185
4,5,0.476,3,0.381
2,14,0.265,3,0.186
4,24,0.371,7,0.265
5,14,0.368,1,0.241
4,19,0.331,12,0.23
2,15,0.228,9,0.189
3,7,0.219,8,0.175
4,18,0.263,7,0.242
6,10,0.323,3,0.229
7,37,0.294,2,0.25
13,27,0.503,10,0.319
9,24,0.361,9,0.314
9,30,0.338,6,0.268
5,21,0.347,9,0.284
12,57,0.493,2,0.296
4,12,0.274,0,0.159
4,5,0.289,0,0.181
0,1,0.077,0,0.077
9,27,0.312,14,0.248
1,2,0.385,2,0.231
17,37,0.437,4,0.234
11,22,0.328,20,0.235
2,8,0.252,8,0.222
0,12,0.22,5,0.202
6,5,0.31,1,0.214
13,42,0.524,1,0.372
14,28,0.307,2,0.242
1,6,0.218,2,0.158
4,11,0.304,5,0.256
8,31,0.368,11,0.277
4,7,0.321,2,0.214
12,27,0.434,8,0.28
5,7,0.283,0,0.221
10,30,0.375,12,0.301
6,15,0.278,4,0.238
7,26,0.44,5,0.295
3,19,0.206,1,0.17
3,19,0.409,2,0.336
8,22,0.283,3,0.193
14,43,0.351,4,0.195
11,15,0.521,12,0.347
21,50,0.494,8,0.315
8,19,0.341,13,0.275
3,5,0.195,2,0.159
7,25,0.312,2,0.244
4,4,0.244,4,0.2
4,10,0.333,5,0.25
6,18,0.342,6,0.202
2,11,0.208,3,0.188
3,5,0.234,3,0.195
16,46,0.46,5,0.305
1,0,1.0,0,0.667
4,19,0.378,2,0.238
6,21,0.292,7,0.241
1,3,0.109,0,0.091
10,16,0.37,1,0.227
3,8,0.194,1,0.149
6,20,0.402,3,0.325
4,8,0.311,0,0.178
14,18,0.401,4,0.279
12,10,0.34,8,0.269
1,3,0.25,1,0.208
5,11,0.262,2,0.228
7,29,0.472,2,0.248
0,0,1.0,0,1.0
1,2,0.161,1,0.143
0,1,0.095,1,0.095
0,1,1.4,1,0.8
5,15,0.303,32,0.253
4,8,0.212,6,0.19
5,21,0.249,0,0.207
5,6,0.313,2,0.205
2,12,0.265,3,0.214
0,3,0.156,1,0.156
9,32,0.479,7,0.282
9,25,0.429,10,0.312
4,7,0.208,1,0.151
7,15,0.393,2,0.258
2,11,0.281,2,0.233
5,13,0.257,4,0.184
7,21,0.348,4,0.196
5,9,0.236,4,0.203
0,6,0.168,5,0.15
4,12,0.483,1,0.283
