Wm Alpha,Wm US,IT,UK,FR,JP,DE,CN (cm),KR,Bust (inches),Waist (inches),Hip (inches)
XXS,0,34,2,32,3,28,82,44,"31""","23""","33 1/2"""
XS,0,36,4,34,5,30,84,44,"32 1/2""","24""","35"""
S,2,38,6,36,7,32,86,44,"33""","25""","36"""
S,4,40,8,38,9,34,88,55,"34""","26""","37"""
M,6,42,10,40,11,36,90,55,"35""","27""","38"""
M,8,44,12,42,13,38,92,66,"36""","28""","39"""
L,10,46,14,44,15,40,96,66,"37 1/2""","29 1/2""","40 1/2"""
L,12,48,16,46,17,42,98,77,"39""","31""","42"""
XL,14,50,18,48,19,44,102,88,"40""","32 1/2""","43 1/2"""
XL,16,52,20,50,21,46,106,-,"41""","33""","44"""
XXL,18,54,22,52,23,48,110,-,"43""","34 1/2""","45"""
