RBI,R,2B,Team,CS,SH,SO,C-G#
3,0,1,BAL,0,0,0,1621
0,3,0,CHA,0,0,0,2045
0,2,0,BAL,0,0,0,1180
0,0,0,BOS,0,0,0,2381
0,3,0,BOS,0,0,0,2306
0,3,0,BAL,0,0,0,1531
2,1,0,CHA,0,0,0,32
2,0,0,CHA,0,0,0,1915
2,2,0,BOS,0,0,0,2573
0,4,0,CHA,0,0,0,626
0,1,0,BAL,0,0,0,1230
1,2,0,BAL,0,0,0,1339
0,1,0,CHA,0,0,0,364
0,4,0,BAL,0,0,0,1571
2,2,0,CHA,0,0,0,512
0,0,0,CHA,0,0,0,853
0,1,0,CHA,0,0,0,2000
0,0,0,CHA,0,0,0,1000
0,1,1,BAL,0,0,0,1605
4,4,0,CHA,0,0,0,450
0,1,1,CHA,0,0,0,2167
0,1,0,CHA,1,0,0,969
0,4,1,CHA,0,0,0,859
0,1,0,BOS,0,0,1,2500
5,2,0,BOS,0,0,0,2351
2,0,0,BOS,0,0,0,2502
2,3,0,CHA,0,0,0,144
1,0,0,BOS,0,0,0,2552
0,0,0,CHA,0,0,0,201
2,1,1,CHA,0,0,0,2077
0,1,0,BAL,0,0,1,1223
0,0,0,CHA,0,0,0,1
0,1,1,CHA,1,0,0,1802
2,3,1,BAL,0,0,0,1062
0,1,0,CHA,0,0,1,800
