WP,Career G,HR,Result,BK,BB,Opp,Str%,Dec,Game Date
0,385,1,W 4-1 @SDN,0,1,SDN,65%,W,2001-08-31
0,269,1,W 2-1 @ATL,0,1,ATL,68%,W,1998-04-05
0,484,0,W 12-7 vs TOR,0,2,TOR,72%,W,2005-04-18
0,393,1,W 8-3 @COL,0,0,COL,76%,W,2002-04-12
0,364,0,W 2-1 @CIN,0,2,CIN,70%,W,2001-05-16
0,200,2,W 5-3 vs FLO,0,0,FLO,68%,W,1995-06-18
0,263,0,W 5-3 @MON,0,1,MON,70%,W,1997-09-06
0,207,0,W 7-0 vs SFN,0,3,SFN,--,W,1996-05-14
0,328,0,W 6-0 @ATL,0,1,ATL,63%,W,2000-05-06
0,225,0,W 6-0 @LAN,0,0,LAN,70%,W,1996-08-21
0,277,1,L 1-3 @SDN,0,1,SDN,67%,L,1998-05-17
0,278,0,L 2-3 @MON,0,2,MON,68%,L,1998-05-23
0,372,4,W 7-5 vs HOU,0,1,HOU,71%,W,2001-06-27
0,530,0,W 5-3 vs PHI,0,1,PHI,65%, ,2006-06-24
0,441,0,L 3-4 @CHN,0,0,CHN,76%, ,2003-08-01
2,295,0,W 11-1 vs ARI,0,2,ARI,69%,W,1998-08-20
0,411,0,W 12-3 @COL,0,0,COL,76%,W,2002-07-17
0,320,2,W 6-2 vs CHN,0,0,CHN,70%,W,1999-07-04
0,475,0,W 10-1 @CHA,0,0,CHA,75%,W,2004-08-20
0,417,1,W 2-1 @CHN,0,0,CHN,73%,W,2002-08-16
0,1,1,W 4-3 vs BOS,0,5,BOS,55%, ,1988-09-07
0,377,0,W 9-2 @SFN,0,2,SFN,69%,W,2001-07-21
0,467,0,W 6-1 @ATL,0,1,ATL,74%,W,2004-07-03
1,415,0,L 3-4 vs ATL,0,1,ATL,65%, ,2002-08-06
1,265,1,W 3-2 vs NYN,0,0,NYN,70%,W,1997-09-16
0,174,0,W 7-1 vs FLO,0,2,FLO,67%,W,1993-09-20
0,241,0,W 3-1 vs COL,0,0,COL,70%,W,1997-05-11
0,425,2,L 1-6 @SLN,0,1,SLN,69%,L,2002-09-25
0,356,1,W 7-2 @LAN,0,1,LAN,66%,W,2001-04-04
0,284,2,W 9-8 @BOS,0,0,BOS,70%, ,1998-06-22
1,275,0,W 4-1 vs ARI,0,3,ARI,64%,W,1998-05-07
1,226,0,L 0-1 @SFN,0,2,SFN,64%,L,1996-08-26
0,397,2,W 6-3 vs MON,0,1,MON,72%,W,2002-05-03
0,249,1,W 9-3 vs FLO,0,1,FLO,63%,W,1997-06-23
1,406,1,L 1-6 vs BAL,0,0,BAL,72%,L,2002-06-19
0,146,0,W 2-0 vs LAN,0,2,LAN,63%,W,1993-04-23
0,262,0,W 5-1 vs NYA,0,0,NYA,69%,W,1997-09-01
0,543,2,L 2-7 @OAK,0,1,OAK,67%,L,2006-08-30
0,556,0,W 5-3 vs CLE,0,0,CLE,68%,W,2007-05-28
0,374,0,L 1-2 vs OAK,0,1,OAK,69%,L,2001-07-08
0,246,1,W 3-2 @PIT,0,2,PIT,64%,W,1997-06-08
0,360,3,W 10-7 vs FLO,0,0,FLO,73%,W,2001-04-25
0,338,0,W 9-1 vs PIT,0,0,PIT,70%,W,2000-07-02
0,388,1,W 6-1 @LAN,0,3,LAN,68%,W,2001-09-23
0,418,0,W 11-3 vs CIN,0,1,CIN,77%,W,2002-08-21
0,445,3,L 1-4 vs CHN,0,0,CHN,79%,L,2003-08-22
0,255,3,L 1-4 @LAN,0,0,LAN,--,L,1997-07-26
0,562,0,L 3-6 @BAL,0,0,BAL,76%, ,2007-08-12
0,313,0,W 2-0 vs COL,0,1,COL,71%,W,1999-05-29
0,300,2,L 2-4 @ATL,0,2,ATL,64%,L,1998-09-14
0,194,1,W 3-1 @FLO,0,2,FLO,67%, ,1995-05-17
0,392,0,W 2-0 @MIL,0,2,MIL,67%,W,2002-04-07
1,430,1,W 11-2 vs COL,0,0,COL,76%,W,2003-04-17
0,354,0,W 7-1 @SFN,0,1,SFN,71%,W,2000-09-22
0,259,0,W 5-1 @HOU,0,1,HOU,65%,W,1997-08-15
0,366,0,W 3-1 @SDN,0,1,SDN,68%,W,2001-05-26
0,525,0,W 6-4 vs TBA,0,0,TBA,73%,W,2006-05-27
0,290,1,L 4-5 vs FLO,0,2,FLO,63%,L,1998-07-25
0,222,0,W 3-0 vs PIT,0,2,PIT,72%,W,1996-08-05
0,432,0,W 5-0 @PIT,0,0,PIT,74%,W,2003-05-09
0,257,0,L 2-4 vs COL,0,2,COL,66%, ,1997-08-05
0,471,2,L 1-4 @BAL,0,0,BAL,75%,L,2004-07-28
0,270,0,W 1-0 vs ATL,0,1,ATL,70%,W,1998-04-10
0,444,0,W 2-0 @ATL,0,2,ATL,75%,W,2003-08-17
1,429,0,L 2-3 vs MIL,0,4,MIL,66%,L,2003-04-12
0,405,1,L 3-6 vs DET,0,1,DET,74%,L,2002-06-14
0,261,1,W 7-6 vs SDN,0,2,SDN,--, ,1997-08-27
0,283,1,W 3-1 vs PIT,0,1,PIT,68%,W,1998-06-17
0,250,4,L 1-9 @ATL,0,4,ATL,59%,L,1997-06-28
0,14,0,W 7-5 vs KCA,0,0,KCA,61%,W,1990-07-11
0,350,2,L 1-10 vs FLO,0,0,FLO,78%,L,2000-09-02
0,138,1,W 2-1 vs NYN,0,0,NYN,72%,W,1992-09-09
