Game Date,Team,Opp,Result,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB,SH,SF,GDP,C-G#,Notes
2008-03-30,ATL,WAS,L 2-3 @WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1st career game
2008-04-09,ATL,COL,L 6-12 @COL,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1st career hit
2008-04-18,ATL,LAN,W 6-1 vs LAN,3,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,10,1st career RBI
2008-04-26,ATL,NYN,L 3-4 @NYN,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,16,1st career stolen base
2008-05-27,ATL,MIL,L 2-3 @MIL,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,39,1st career home run
2008-06-28,ATL,TOR,L 5-9 @TOR,5,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,69,4 hits
2008-07-06,ATL,HOU,W 7-6 vs HOU,8,2,2,0,0,0,0,0,0,1,4,0,0,0,0,0,76,4 strikeouts
2008-07-23,ATL,FLO,W 9-4 @FLO,5,3,4,0,1,0,3,0,0,0,0,0,0,0,0,0,88,4 hits
2008-07-29,ATL,SLN,L 3-8 vs SLN,4,1,4,0,0,0,1,0,0,1,0,0,0,0,0,0,93,4 hits
2010-08-13,KCA,NYA,W 4-3 vs NYA,4,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,213,3 stolen bases
2010-08-27,KCA,CLE,L 4-15 @CLE,4,0,4,1,0,0,1,0,0,1,0,0,0,1,0,0,225,4 hits
2012-06-22,SFN,OAK,W 5-4 @OAK,4,0,2,0,0,0,2,3,1,1,1,0,0,0,0,0,314,3 stolen bases
2013-07-12,SFN,SDN,W 10-1 @SDN,4,4,1,0,0,0,0,1,0,2,1,0,0,0,0,0,679,4 runs scored
2013-07-13,SFN,SDN,W 9-0 @SDN,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,679,4 strikeouts
2014-05-14,SFN,ATL,W 10-4 vs ATL,3,3,1,0,0,0,1,3,0,2,1,0,0,0,0,0,679,3 stolen bases
