Season,Team,GP,G,A,P,+/-,PIM,PP,SH,GW,S,S%
1989-1990,Stayner Siskins-OHA-C,34,21,31,52, ,12, , , , , 
1990-1991,Lindsay Bears-OHA-B,42,17,44,61, ,10, , , , , 
1991-1992,Oshawa Generals-OHL,57,9,15,24, ,12, , , , , 
1992-1993,Oshawa Generals-OHL,56,41,57,98, ,74, , , , , 
1993-1994,Oilers,78,33,35,68,1.0,104,10.0,0.0,4.0,194,17.0
1993-1994,Canada-WC-A,8,0,6,6, ,10, , , , , 
1994-1995,Oilers,42,15,22,37,-14.0,128,7.0,0.0,1.0,156,9.6
1995-1996,Oilers,64,28,31,59,-6.0,87,8.0,0.0,5.0,244,11.5
1996-1997,Oilers,67,19,38,57,-21.0,92,10.0,1.0,2.0,248,7.7
1997-1998,Oilers,35,5,13,18,-16.0,78,1.0,0.0,0.0,100,5.0
1997-1998,Devils,35,5,10,15,-8.0,21,3.0,0.0,2.0,99,5.0
1998-1999,Devils,74,27,27,54,10.0,79,8.0,0.0,3.0,200,13.5
1999-2000,Devils,76,22,34,56,22.0,51,7.0,0.0,4.0,244,9.0
2000-2001,Devils,54,21,34,55,23.0,75,8.0,0.0,3.0,138,15.2
2001-2002,Devils,63,22,19,41,3.0,59,8.0,0.0,1.0,169,13.0
2001-2002,Stars,10,3,1,4,-1.0,6,2.0,0.0,2.0,28,10.7
2002-2003,Stars,72,23,24,47,9.0,51,7.0,0.0,6.0,169,13.6
2003-2004,Stars,73,21,36,57,23.0,66,5.0,0.0,5.0,143,14.7
2005-2006,Stars,81,32,44,76,13.0,102,11.0,1.0,5.0,167,19.2
2006-2007,Predators,68,27,27,54,15.0,48,12.0,0.0,6.0,190,14.2
2007-2008,Predators,79,28,44,72,19.0,54,13.0,0.0,3.0,248,11.3
2008-2009,Predators,65,33,24,57,2.0,49,9.0,0.0,5.0,196,16.8
2009-2010,Predators,63,19,27,46,0.0,26,6.0,0.0,3.0,216,8.8
2010-2011,Devils,62,13,11,24,-9.0,32,2.0,0.0,0.0,139,9.4
2010-2011,Capitals,11,4,3,7,3.0,8,2.0,0.0,1.0,30,13.3
2011-2012,Blues,72,17,17,34,13.0,26,6.0,0.0,3.0,142,12.0
 ,NHL Totals,"1,244",417,521,938,81.0,"1,242",145.0,2.0,64.0,"3,460",12.1
