DRB%,Date,TS%,GS,Rk,ORtg,MP,TOV%,AST%
13.3,1996-04-14,.521,0,72,124,21:00,0.0,0.0
0.0,1995-12-16,.000,0,20,0,2:00,0.0,0.0
0.0,1995-12-20,.647,0,22,153,19:00,0.0,0.0
26.7,1995-12-23,1.000,0,24,202,10:00,0.0,0.0
0.0,1996-02-26,.000,0,50,0,5:00,0.0,0.0
8.9,1996-01-06,.753,0,29,86,12:00,37.6,0.0
18.0,1995-11-29,.444,0,11,95,29:00,11.3,0.0
14.7,1995-12-30,.500,0,27,112,16:00,0.0,0.0
15.3,1996-01-13,.333,0,31,71,29:00,14.3,5.2
13.3,1996-02-15,.517,0,44,132,32:00,0.0,5.5
0.0,1996-03-17, ,0,60,58,6:00,100.0,0.0
16.9,1996-04-02,.532,0,66,52,23:00,34.7,0.0
31.6,1995-11-22,.644,0,8,149,23:00,0.0,0.0
13.4,1996-03-09,.307,0,57,89,13:00,0.0,0.0
10.1,1996-02-28,.266,0,51,66,25:00,34.7,8.0
20.0,1996-04-05,.922,0,68,182,16:00,0.0,10.3
20.5,1996-03-19,.906,0,61,143,12:00,26.6,0.0
0.0,1996-03-30,1.031,0,65,130,17:00,34.0,0.0
15.2,1996-01-19,.000,0,34,48,22:00,33.3,0.0
14.5,1996-03-22,.333,0,63,69,11:00,25.0,0.0
18.4,1995-11-24,.510,0,9,96,17:00,25.4,0.0
27.5,1995-12-04,.532,0,14,89,23:00,34.7,0.0
7.0,1996-04-21,.347,1,75,93,16:00,0.0,0.0
0.0,1995-12-19, ,0,21, ,6:00, ,0.0
25.0,1996-01-21,.735,0,35,150,16:00,0.0,0.0
0.0,1996-03-23,1.136,0,64,114,10:00,53.2,0.0
9.7,1996-04-10,.667,0,71,151,11:00,0.0,0.0
13.1,1996-01-25,1.031,0,37,166,17:00,20.5,0.0
