m,d/s,pts/s,ta,bs,a/s,s
30,0.71,0.8,149,6,3.73,85
29,1.67,0.3,16,0,0.18,88
30,0.82,2.9,730,41,0.05,110
33,1.03,1.8,502,14,0.11,122
30,5.81,0.4,128,0,0.17,110
33,1.78,1.5,487,1,5.63,117
30,1.98,0.5,38,0,0.15,102
31,0.21,2.1,443,9,0.09,107
32,3.54,0.4,96,0,0.16,116
31,0.12,1.5,459,4,0.01,109
30,0.58,2.5,709,41,0.08,110
35,0.61,2.9,960,7,0.25,128
35,1.83,2.1,753,3,0.09,132
29,1.03,0.4,66,0,4.91,101
30,3.37,1.5,600,3,0.06,109
33,1.09,2.1,658,7,0.11,117
29,2.17,0.8,114,0,10.17,105
33,3.7,0.4,26,0,0.52,125
